# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	a5 (rad)	a6 (rad)	a7 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	m.region5x ()	m.region5y ()	m.region5z ()	m.region6x ()	m.region6y ()	m.region6z ()	m.region7x ()	m.region7y ()	m.region7z ()	roundness ()	size (m)	Cell_size (m)
0	0.5514192	0.101884834	0	-2.0200321e-17	-2.5847778e-17	0	0	1.5707964	0	3.1415927	0	0	0.96274877	-0.24363741	0	0.9769536	0.17864843	0	-0.00031118243	0.9996821	0	-0.1840968	-0.97606426	0	0.18574615	0.9761811	0	0.9332735	-0.34284696	0	0.9856204	0.121230856	0	0.66	100	2e-09
0	0.45477596	0.21707188	0	-2.0180583e-17	-2.5847783e-17	0	0	1.5707964	0	3.1415927	0	1.5707964	0.9617877	-0.24746464	0	0.9762701	0.18244833	0	-0.00025715472	0.9996821	0	-0.18420094	-0.9760521	0	0.29063767	0.95115304	0	0.92663413	-0.36073738	0	0.21256042	0.97047365	0	0.66	100	2e-09
0	0.2563108	0.10505957	0	-2.0068489e-17	-2.5847783e-17	0	0	1.5707964	0	3.1415927	0	3.1415927	0.9599075	-0.2547481	0	0.98238933	0.14496017	0	-0.0002446092	0.9996821	0	-0.2074948	-0.97151244	0	0.103350565	0.98719555	0	0.9344271	-0.33954096	0	-0.9781595	0.16938049	0	0.66	100	2e-09
0	0.4168162	-0.0525867	0	-2.010536e-17	-2.5847783e-17	0	0	1.5707964	0	3.1415927	0	4.712389	0.96159947	-0.24818295	0	0.9825092	0.14405888	0	-0.00032850317	0.9996821	0	-0.20415492	-0.97218794	0	-0.006932341	0.99237466	0	0.9408311	-0.32098895	0	0.24418943	-0.9628629	0	0.66	100	2e-09
0	0.42208147	0.29798636	0	-2.009491e-17	-2.5847783e-17	0	0	1.5707964	0	3.1415927	1.5707964	0	0.97003233	-0.21234626	0	0.9743331	0.19274087	0	-0.0003435989	0.9996822	0	-0.13242565	-0.9841875	0	0.16463345	0.97986376	0	-0.0077154986	0.9927305	0	0.98605597	0.11742104	0	0.66	100	2e-09
0	0.32027006	0.41724566	0	-2.0077753e-17	-2.5847783e-17	0	0	1.5707964	0	3.1415927	1.5707964	1.5707964	0.96930337	-0.2157123	0	0.9737401	0.19579652	0	-0.00028782873	0.9996823	0	-0.13247186	-0.9841904	0	0.263535	0.9587881	0	-0.027399966	0.99239045	0	0.19547161	0.97396517	0	0.66	100	2e-09
0	0.11963302	0.29864138	0	-1.9974478e-17	-2.5847783e-17	0	0	1.5707964	0	3.1415927	1.5707964	3.1415927	0.96779186	-0.22248676	0	0.98041016	0.15806758	0	-0.00027630135	0.9996823	0	-0.16291526	-0.9797542	0	0.073990114	0.989698	0	-0.040810175	0.9919531	0	-0.9807593	0.1533298	0	0.66	100	2e-09
0	0.2804306	0.13933393	0	-2.000648e-17	-2.584778e-17	0	0	1.5707964	0	3.1415927	1.5707964	4.712389	0.96906364	-0.21677506	0	0.9805145	0.15734392	0	-0.00035981418	0.9996822	0	-0.15970847	-0.98025364	0	-0.030561168	0.9919128	0	-0.012348637	0.9926956	0	0.21641393	-0.96926826	0	0.66	100	2e-09
0	0.30996606	0.10258775	0	-2.020754e-17	-2.584778e-17	0	0	1.5707964	0	3.1415927	3.1415927	0	0.9617936	-0.2473974	0	0.97603834	0.1837039	0	-0.0002744078	0.9996821	0	0.008247681	-0.9924421	0	0.17589676	0.97796905	0	-0.9363666	-0.33405486	0	0.9844271	0.1306535	0	0.66	100	2e-09
0	0.20956677	0.22031926	0	-2.0194961e-17	-2.5847783e-17	0	0	1.5707964	0	3.1415927	3.1415927	1.5707964	0.9609132	-0.2508515	0	0.97551054	0.18656316	0	-0.00021959736	0.9996821	0	0.0048239366	-0.99248314	0	0.27366933	0.9560426	0	-0.9371265	-0.33184743	0	0.1893964	0.975129	0	0.66	100	2e-09
