# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.052007698	-0.4928688	0	-2.2579466e-17	-2.5847722e-17	2.3561945	4.712389	5.497787	-0.76694924	0.627092	0	0.21939766	-0.9687322	0	0.75630516	-0.6397894	0	0.00041241624	-0.99967986	0	0.66	1e-07	2e-09
0	-0.0092144795	-0.37798193	0	-2.2442164e-17	-2.5847869e-17	3.9269907	0	0.7853982	-0.6454587	-0.75114334	0	-0.04497242	0.99089533	0	0.6528691	-0.744669	0	0.00044818854	-0.9996854	0	0.66	1e-07	2e-09
0	-0.42539364	-0.48007867	0	-2.264829e-17	-2.584768e-17	3.9269907	0	2.3561945	-0.71906954	-0.68109804	0	-0.28074393	-0.9539896	0	-0.69591737	0.70471096	0	-0.0002576723	-0.99967813	0	0.66	1e-07	2e-09
0	-0.6068359	-0.6355191	0	-2.2640852e-17	-2.584776e-17	3.9269907	0	3.9269907	-0.6756888	-0.7241798	0	-0.97185886	-0.20456761	0	-0.77840924	-0.6129929	0	0.000993865	-0.9996813	0	0.66	1e-07	2e-09
0	0.24117361	-0.63779813	0	-2.253677e-17	-2.5847773e-17	3.9269907	0	5.497787	-0.7587231	-0.6365808	0	0.9421779	-0.31217942	0	0.7861609	-0.6031062	0	-0.00041714017	-0.99968183	0	0.66	1e-07	2e-09
0	0.028777627	-0.03420853	0	-2.2379573e-17	-2.5847834e-17	3.9269907	1.5707964	0.7853982	-0.6266456	-0.7669339	0	-0.015771756	0.9917291	0	0.7571164	0.6386476	0	-0.00031040702	-0.99968415	0	0.66	1e-07	2e-09
0	-0.5964286	-0.35930634	0	-2.2641545e-17	-2.5847732e-17	3.9269907	1.5707964	2.3561945	-0.67093337	-0.72858286	0	-0.9375878	-0.33218056	0	-0.7749978	0.61720604	0	0.00031048193	-0.99968016	0	0.66	1e-07	2e-09
0	-0.60683674	-0.6355185	0	-2.2640853e-17	-2.584776e-17	3.9269907	1.5707964	3.9269907	-0.67569256	-0.72417635	0	-0.97185874	-0.20456836	0	-0.7784091	-0.6129931	0	0.0009938661	-0.9996813	0	0.66	1e-07	2e-09
0	-0.009198039	-0.37797487	0	-2.2442163e-17	-2.5847869e-17	3.9269907	1.5707964	5.497787	-0.6454756	-0.7511288	0	-0.04490113	0.9908984	0	0.6528811	-0.7446585	0	0.00044812387	-0.99968547	0	0.66	1e-07	2e-09
0	-0.017554158	-0.4828825	0	-2.2638701e-17	-2.5847685e-17	3.9269907	3.1415927	0.7853982	-0.72674024	-0.6728654	0	-0.018874422	-0.99287856	0	0.6758903	0.7238255	0	-0.00033642424	-0.9996784	0	0.66	1e-07	2e-09
0	-0.59642816	-0.3593055	0	-2.2641545e-17	-2.5847732e-17	3.9269907	3.1415927	2.3561945	-0.670933	-0.7285832	0	-0.9375884	-0.33217898	0	-0.77499616	0.6172081	0	0.00031048156	-0.9996801	0	0.66	1e-07	2e-09
0	-0.6068323	-0.6355224	0	-2.2640853e-17	-2.584776e-17	3.9269907	3.1415927	3.9269907	-0.6756706	-0.7241968	0	-0.97185856	-0.20456943	0	-0.77841383	-0.61298716	0	0.0009938567	-0.9996813	0	0.66	1e-07	2e-09
0	-0.2608575	-0.6953752	0	-2.2537846e-17	-2.5847761e-17	3.9269907	3.1415927	5.497787	-0.67489856	-0.72487897	0	-0.9598607	-0.25743017	0	0.58580214	-0.79820025	0	0.0012439048	-0.99968135	0	0.66	1e-07	2e-09
