# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.06544395	0.6634096	0	3.299206e-18	-0	0.7853982	3.1415927	1.5707964	0.7853982	0.6191893	0.77344567	0	-0.98722935	0.09915956	0	0.016578097	0.99275744	0	0.60243833	0.78597295	0	0.66	100	2e-09
0	-0.28682318	0.5117837	0	3.1629418e-18	-0	0.7853982	3.1415927	1.5707964	2.3561945	0.6785992	0.72178096	0	-0.96712214	-0.22797704	0	-0.045431256	0.9913616	0	-0.81764156	0.5594187	0	0.66	100	2e-09
0	-0.21729997	0.19236043	0	3.1334028e-18	-0	0.7853982	3.1415927	1.5707964	3.9269907	0.7058757	0.6949995	0	-0.9547247	-0.27682564	0	0.14163938	0.98275125	0	-0.7657008	-0.6283343	0	0.66	100	2e-09
0	0.14427158	0.18542238	0	3.2543692e-18	-0	0.7853982	3.1415927	1.5707964	5.497787	0.6628872	0.73607844	0	-0.9907496	-0.06282246	0	0.38055265	0.9194311	0	0.5155848	-0.84623516	0	0.66	100	2e-09
0	-0.18940619	0.46119645	0	3.3336952e-18	-0	0.7853982	3.1415927	3.1415927	0.7853982	0.5973156	0.7904214	0	-0.9839173	0.12871182	0	-0.98391724	0.1287118	0	0.5973156	0.7904214	0	0.66	100	2e-09
0	-0.28683066	0.5117912	0	3.1629418e-18	-0	0.7853982	3.1415927	3.1415927	2.3561945	0.6786048	0.7217757	0	-0.9671238	-0.22797075	0	-0.0454873	0.991359	0	-0.81762	0.5594499	0	0.66	100	2e-09
0	-0.2173607	0.19222088	0	3.1334026e-18	-0	0.7853982	3.1415927	3.1415927	3.9269907	0.7060545	0.694818	0	-0.95454633	-0.27746224	0	0.14119838	0.98281306	0	-0.76586145	-0.62813914	0	0.66	100	2e-09
0	-0.16226536	2.8774656e-08	0	3.3697421e-18	-0	0.7853982	3.1415927	3.1415927	5.497787	0.6596366	0.73882854	0	-0.9926477	1.3560425e-07	0	-0.99196225	-3.2448753e-08	0	0.6596366	-0.7388285	0	0.66	100	2e-09
0	0.09000771	0.1907476	0	3.3412712e-18	-0	0.7853982	3.1415927	4.712389	0.7853982	0.39407495	0.90963656	0	-0.95618135	0.2682199	0	0.09565176	-0.9877725	0	0.816284	0.562112	0	0.66	100	2e-09
0	-0.32254001	0.1097732	0	3.3953427e-18	-0	0.7853982	3.1415927	4.712389	2.3561945	0.5324392	0.8356152	0	-0.9893962	-0.08300708	0	-0.0992034	-0.9859243	0	-0.7383478	0.6597768	0	0.66	100	2e-09
0	5.853587e-06	-1.7097946e-05	0	3.1549086e-18	-0	0.7853982	3.1415927	4.712389	3.9269907	0.6404684	0.7557393	0	-0.9671461	-0.2281424	0	0.96715975	0.22808196	0	-0.6404589	-0.7557476	0	0.66	100	2e-09
0	0.14427406	-0.18542194	0	3.2543694e-18	-0	0.7853982	3.1415927	4.712389	5.497787	0.51558584	0.84623456	0	-0.9907496	0.06282173	0	0.38056254	-0.91942716	0	0.6628862	-0.73607934	0	0.66	100	2e-09
0	0.66471803	0.14476594	0	3.2941554e-18	-0	0.7853982	4.712389	0	0.7853982	0.7390363	0.6593454	0	0.25004324	-0.9610355	0	0.9801345	0.15864584	0	0.6886852	0.7114031	0	0.66	100	2e-09
0	9.600928e-05	0.2915642	0	3.1035411e-18	-0	0.7853982	4.712389	0	2.3561945	0.80305433	0.5805387	0	8.751256e-05	-0.992717	0	0.00040238787	0.9923164	0	-0.8031573	0.58039784	0	0.66	100	2e-09
0	0.2173017	-0.1923607	0	3.1334026e-18	-0	0.7853982	4.712389	0	3.9269907	0.76570195	0.628333	0	-0.14163229	-0.9827522	0	0.9547247	0.27682555	0	-0.70587695	-0.6949982	0	0.66	100	2e-09
0	0.54984736	-0.27909532	0	3.2063344e-18	-0	0.7853982	4.712389	0	5.497787	0.75165963	0.64498717	0	-0.09340637	-0.9884757	0	0.992225	0.049437206	0	0.54694206	-0.8260639	0	0.66	100	2e-09
0	0.36254355	0.3772117	0	3.270069e-18	-0	0.7853982	4.712389	1.5707964	0.7853982	0.7931894	0.5938202	0	0.17378272	-0.97741747	0	0.048263464	0.99166775	0	0.4300068	0.89351976	0	0.66	100	2e-09
0	9.983044e-09	0.29166663	0	3.1035411e-18	-0	0.7853982	4.712389	1.5707964	2.3561945	0.8029573	0.58067197	0	4.149457e-08	-0.9927171	0	-4.293305e-08	0.99231666	0	-0.8029572	0.5806721	0	0.66	100	2e-09
0	1.1744757e-08	-9.395806e-09	0	3.108825e-18	-0	0.7853982	4.712389	1.5707964	3.9269907	0.811713	0.5684194	0	-0.16356944	-0.9793402	0	0.16356947	0.9793402	0	-0.811713	-0.5684194	0	0.66	100	2e-09
