# t (s)	mx ()	my ()	mz ()	Jx (A/m2)	Jy (A/m2)	Jz (A/m2)	ext_bubbleposx (m)	ext_bubbleposy (m)	ext_bubbleposz (m)
7.600176288011374e-10	0.0002421653	-9.690411e-06	-0.96660596	-4e+11	0	0	-1.9979096e-08	-9.639148e-10	0
7.700215821344471e-10	0.0002507325	-8.492731e-06	-0.9666414	-4e+11	0	0	-1.9855591e-08	-9.444008e-10	0
7.80025542120856e-10	0.00025940491	-7.212162e-06	-0.96667814	-4e+11	0	0	-1.9732552e-08	-9.23172e-10	0
7.900295009168884e-10	0.0002681782	-5.867332e-06	-0.9667162	-4e+11	0	0	-1.9610177e-08	-8.9997293e-10	0
8.000334973424648e-10	0.00027702868	-4.4470653e-06	-0.9667555	-4e+11	0	0	-1.9488175e-08	-8.7492563e-10	0
8.100007045035045e-10	0.00028590637	-2.962537e-06	-0.9667959	-4e+11	0	0	-1.9367455e-08	-8.479519e-10	0
8.200047084917054e-10	0.00029485373	-1.3951212e-06	-0.96683747	-4e+11	0	0	-1.9247132e-08	-8.188076e-10	0
8.300087167017086e-10	0.0003038209	2.3283064e-07	-0.9668803	-4e+11	0	0	-1.912773e-08	-7.876339e-10	0
8.400127407925264e-10	0.00031277916	1.9362196e-06	-0.9669242	-4e+11	0	0	-1.9008706e-08	-7.5422096e-10	0
8.500167591968404e-10	0.00032171485	3.701076e-06	-0.9669691	-4e+11	0	0	-1.889106e-08	-7.1865275e-10	0
8.600207829547805e-10	0.00033059463	5.5395067e-06	-0.96701473	-4e+11	0	0	-1.8774285e-08	-6.809292e-10	0
8.700248204226149e-10	0.0003394041	7.4366108e-06	-0.96706116	-4e+11	0	0	-1.8658723e-08	-6.409512e-10	0
8.800288753619801e-10	0.00034811345	9.397045e-06	-0.9671083	-4e+11	0	0	-1.8544464e-08	-5.987282e-10	0
8.900329298839057e-10	0.00035670138	1.1416152e-05	-0.96715605	-4e+11	0	0	-1.8430816e-08	-5.5423355e-10	0
9.000002069406413e-10	0.00036511786	1.34874135e-05	-0.96720403	-4e+11	0	0	-1.8319442e-08	-5.07555e-10	0
9.100042696856744e-10	0.0003733942	1.5615486e-05	-0.9672526	-4e+11	0	0	-1.8208809e-08	-4.5855714e-10	0
9.200083487027458e-10	0.00038149123	1.78013e-05	-0.96730125	-4e+11	0	0	-1.8099326e-08	-4.0736198e-10	0
9.300124514883072e-10	0.00038937575	2.0034611e-05	-0.96735036	-4e+11	0	0	-1.7991539e-08	-3.5396386e-10	0
9.40016551348052e-10	0.00039704004	2.2313558e-05	-0.9673993	-4e+11	0	0	-1.7885277e-08	-2.9831695e-10	0
9.50020655962557e-10	0.00040446216	2.4637207e-05	-0.96744835	-4e+11	0	0	-1.7780533e-08	-2.4051094e-10	0
9.60024773464542e-10	0.000411626	2.7001835e-05	-0.96749705	-4e+11	0	0	-1.767765e-08	-1.8055153e-10	0
9.700288865688526e-10	0.00041852563	2.9400922e-05	-0.9675457	-4e+11	0	0	-1.7576072e-08	-1.1855697e-10	0
9.80033012247181e-10	0.0004251383	3.1840056e-05	-0.967594	-4e+11	0	0	-1.7476792e-08	-5.4599762e-11	0
9.900003671709125e-10	0.00043144313	3.430154e-05	-0.96764183	-4e+11	0	0	-1.7379111e-08	1.10588075e-11	0
1.0000045093899924e-09	0.00043747076	3.680121e-05	-0.9676893	-4e+11	0	0	-1.7283408e-08	7.873917e-11	0
1.0100086648349403e-09	0.00044319849	3.933627e-05	-0.96773636	-4e+11	0	0	-1.7189361e-08	1.482277e-10	0
1.0200128189185046e-09	0.00044861578	4.1893683e-05	-0.9677828	-4e+11	0	0	-1.7096855e-08	2.1945572e-10	0
1.0300169688895388e-09	0.00045373008	4.4472516e-05	-0.96782887	-4e+11	0	0	-1.7006515e-08	2.9227448e-10	0
1.0400211329623707e-09	0.0004585348	4.7076494e-05	-0.9678742	-4e+11	0	0	-1.6918365e-08	3.665886e-10	0
1.0500253063397117e-09	0.0004630315	4.9704686e-05	-0.9679191	-4e+11	0	0	-1.6831681e-08	4.4234086e-10	0
1.060029485238641e-09	0.00046723062	5.2344985e-05	-0.96796334	-4e+11	0	0	-1.6747581e-08	5.19268e-10	0
1.070033661465746e-09	0.00047112867	5.5014156e-05	-0.968007	-4e+11	0	0	-1.6664787e-08	5.974655e-10	0
1.0800010684271072e-09	0.00047472707	5.76796e-05	-0.96805	-4e+11	0	0	-1.6584679e-08	6.7663575e-10	0
1.090005282218459e-09	0.00047804974	6.0380436e-05	-0.96809256	-4e+11	0	0	-1.6506156e-08	7.5699996e-10	0
1.100009477663939e-09	0.000481099	6.309152e-05	-0.9681347	-4e+11	0	0	-1.6429635e-08	8.383827e-10	0
1.1100136735156235e-09	0.00048388238	6.581843e-05	-0.96817625	-4e+11	0	0	-1.6355331e-08	9.205513e-10	0
1.120017897989069e-09	0.000486405	6.856583e-05	-0.96821743	-4e+11	0	0	-1.6282723e-08	1.0035897e-09	0
1.1300221113630171e-09	0.00048868475	7.131882e-05	-0.9682582	-4e+11	0	0	-1.6212288e-08	1.0871086e-09	0
1.1400263508491964e-09	0.0004907256	7.408857e-05	-0.9682987	-4e+11	0	0	-1.6143883e-08	1.1713104e-09	0
1.1500305477390207e-09	0.0004925382	7.686764e-05	-0.9683387	-4e+11	0	0	-1.6077621e-08	1.2559662e-09	0
1.1600347722837771e-09	0.00049413973	7.9667196e-05	-0.96837866	-4e+11	0	0	-1.6013313e-08	1.3409538e-09	0
1.1700022181924824e-09	0.00049552537	8.246396e-05	-0.9684181	-4e+11	0	0	-1.5951523e-08	1.4260597e-09	0
1.1800064600052514e-09	0.00049672625	8.528866e-05	-0.9684576	-4e+11	0	0	-1.5891334e-08	1.511673e-09	0
1.1900106767947291e-09	0.00049773994	8.811802e-05	-0.968497	-4e+11	0	0	-1.5832915e-08	1.5974769e-09	0
1.2000149066063129e-09	0.00049858366	9.096693e-05	-0.9685363	-4e+11	0	0	-1.5777015e-08	1.6833763e-09	0
1.2100191516322224e-09	0.00049925514	9.3827024e-05	-0.96857554	-4e+11	0	0	-1.5722916e-08	1.7692833e-09	0
1.2200233997056506e-09	0.00049977814	9.669643e-05	-0.96861494	-4e+11	0	0	-1.5670707e-08	1.8552856e-09	0
1.230027630881556e-09	0.0005001501	9.95826e-05	-0.9686543	-4e+11	0	0	-1.5620795e-08	1.9411697e-09	0
1.2400318662787495e-09	0.00050038705	0.00010247901	-0.96869373	-4e+11	0	0	-1.5573006e-08	2.0270348e-09	0
1.2500361048812831e-09	0.0005004894	0.00010539219	-0.9687334	-4e+11	0	0	-1.5527275e-08	2.1126365e-09	0
1.2600035822253398e-09	0.0005004742	0.0001083035	-0.96877295	-4e+11	0	0	-1.5483666e-08	2.19775e-09	0
1.2700078220534846e-09	0.0005003328	0.00011124136	-0.96881294	-4e+11	0	0	-1.5441962e-08	2.2829856e-09	0
1.2800120739670386e-09	0.00050009415	0.00011418946	-0.96885306	-4e+11	0	0	-1.5402588e-08	2.3678512e-09	0
1.2900163043534964e-09	0.0004997413	0.00011716224	-0.9688935	-4e+11	0	0	-1.5365265e-08	2.4524651e-09	0
1.3000205583593688e-09	0.0004992939	0.00012013223	-0.9689342	-4e+11	0	0	-1.5329636e-08	2.5367202e-09	0
1.3100248072753788e-09	0.00049875147	0.00012312876	-0.9689751	-4e+11	0	0	-1.5296562e-08	2.6207008e-09	0
1.3200290557323014e-09	0.0004981193	0.00012613088	-0.96901643	-4e+11	0	0	-1.526538e-08	2.7042237e-09	0
1.3300332896059156e-09	0.0004974009	0.00012915302	-0.969058	-4e+11	0	0	-1.5236793e-08	2.7873763e-09	0
1.3400007732489903e-09	0.0004966017	0.00013217796	-0.9690997	-4e+11	0	0	-1.5209954e-08	2.8697167e-09	0
1.3500050012341051e-09	0.0004957194	0.00013522524	-0.96914184	-4e+11	0	0	-1.5185432e-08	2.9519005e-09	0
1.3600092490784345e-09	0.00049476285	0.00013828743	-0.9691843	-4e+11	0	0	-1.516307e-08	3.0336762e-09	0
1.3700134804900293e-09	0.0004937248	0.00014136545	-0.9692271	-4e+11	0	0	-1.5142845e-08	3.1149445e-09	0
1.3800177201916879e-09	0.00049261976	0.00014445372	-0.9692701	-4e+11	0	0	-1.5125206e-08	3.1956902e-09	0
1.3900219394562895e-09	0.000491434	0.00014755921	-0.9693135	-4e+11	0	0	-1.5109123e-08	3.2759284e-09	0
1.4000261644615198e-09	0.0004901801	0.00015067495	-0.96935713	-4e+11	0	0	-1.5095994e-08	3.3557739e-09	0
1.4100304129359658e-09	0.00048885145	0.00015380792	-0.96940106	-4e+11	0	0	-1.5084884e-08	3.4349708e-09	0
1.4200346175072608e-09	0.00048744935	0.00015694601	-0.96944517	-4e+11	0	0	-1.5076141e-08	3.5135346e-09	0
1.430002060754314e-09	0.00048598036	0.00016009249	-0.96948934	-4e+11	0	0	-1.5069848e-08	3.5913659e-09	0
1.4400062669252127e-09	0.00048442653	0.00016326085	-0.9695339	-4e+11	0	0	-1.5065552e-08	3.6687813e-09	0
1.4500104728358736e-09	0.0004827982	0.00016644038	-0.9695786	-4e+11	0	0	-1.5063714e-08	3.7457006e-09	0
1.4600146791766854e-09	0.00048108932	0.00016962597	-0.9696233	-4e+11	0	0	-1.5064385e-08	3.8219987e-09	0
1.4700188728735967e-09	0.00047929765	0.00017282693	-0.9696682	-4e+11	0	0	-1.5067467e-08	3.897579e-09	0
1.48002306677095e-09	0.00047741568	0.00017603254	-0.96971315	-4e+11	0	0	-1.5072777e-08	3.9725343e-09	0
1.4900272596506548e-09	0.0004754488	0.000179247	-0.969758	-4e+11	0	0	-1.508043e-08	4.046997e-09	0
1.5000314451102567e-09	0.00047338044	0.00018246938	-0.9698027	-4e+11	0	0	-1.5090972e-08	4.120823e-09	0
1.5100356266650268e-09	0.00047121267	0.00018569827	-0.9698473	-4e+11	0	0	-1.5104172e-08	4.1938706e-09	0
1.5200030283778415e-09	0.0004689493	0.0001889132	-0.9698914	-4e+11	0	0	-1.51194e-08	4.265854e-09	0
1.5300072001483498e-09	0.0004665608	0.00019214768	-0.96993554	-4e+11	0	0	-1.5137566e-08	4.337376e-09	0
1.5400113733667782e-09	0.00046405103	0.00019537844	-0.9699791	-4e+11	0	0	-1.5157914e-08	4.4082795e-09	0
1.550015519747876e-09	0.00046141326	0.00019860175	-0.9700223	-4e+11	0	0	-1.5181115e-08	4.478241e-09	0
1.5600196580310635e-09	0.00045863778	0.00020182785	-0.97006476	-4e+11	0	0	-1.5207116e-08	4.547226e-09	0
1.5700238239075545e-09	0.0004557156	0.00020504557	-0.9701065	-4e+11	0	0	-1.5235337e-08	4.615482e-09	0
1.5800279709187723e-09	0.00045263523	0.00020825118	-0.9701475	-4e+11	0	0	-1.5266373e-08	4.682766e-09	0
1.59003209967149e-09	0.00044938744	0.00021144515	-0.9701874	-4e+11	0	0	-1.5300591e-08	4.749203e-09	0
1.60003622673085e-09	0.0004459646	0.00021462422	-0.97022635	-4e+11	0	0	-1.5337342e-08	4.814602e-09	0
1.6100035934017545e-09	0.00044236446	0.00021777116	-0.97026384	-4e+11	0	0	-1.5376527e-08	4.8786353e-09	0
1.6200076982402669e-09	0.00043855386	0.00022090785	-0.9703001	-4e+11	0	0	-1.541848e-08	4.941868e-09	0
1.6300118126659134e-09	0.00043453136	0.00022401614	-0.9703348	-4e+11	0	0	-1.5463693e-08	5.0038604e-09	0
1.6400159092237448e-09	0.000430294	0.00022709928	-0.9703679	-4e+11	0	0	-1.551175e-08	5.0647126e-09	0
1.6500200067533886e-09	0.0004258183	0.00023014424	-0.9703992	-4e+11	0	0	-1.556221e-08	5.1241265e-09	0
1.660024085848879e-09	0.0004211092	0.00023315568	-0.9704284	-4e+11	0	0	-1.5615868e-08	5.1821405e-09	0
1.6700281720757913e-09	0.00041614595	0.00023612287	-0.9704557	-4e+11	0	0	-1.5672386e-08	5.2387925e-09	0
1.680032240379983e-09	0.00041093345	0.00023904443	-0.9704806	-4e+11	0	0	-1.5731628e-08	5.2939875e-09	0
1.6900363030245648e-09	0.00040545603	0.00024191895	-0.9705033	-4e+11	0	0	-1.5793617e-08	5.3475686e-09	0
1.7000035755916999e-09	0.0003997402	0.0002447199	-0.9705233	-4e+11	0	0	-1.5858367e-08	5.399334e-09	0
1.7100076252530952e-09	0.0003937352	0.00024748454	-0.9705408	-4e+11	0	0	-1.5926124e-08	5.449524e-09	0
1.7200116647217662e-09	0.00038746692	0.0002501756	-0.9705557	-4e+11	0	0	-1.5996545e-08	5.4980203e-09	0
1.7300157109985787e-09	0.0003809381	0.00025280705	-0.9705679	-4e+11	0	0	-1.6069702e-08	5.5446203e-09	0
1.7400197405788234e-09	0.00037414994	0.00025536306	-0.97057736	-4e+11	0	0	-1.614602e-08	5.5891e-09	0
1.75002376480897e-09	0.0003671195	0.00025784597	-0.9705839	-4e+11	0	0	-1.622461e-08	5.6317826e-09	0
1.7600277847161777e-09	0.00035984756	0.00026024878	-0.97058773	-4e+11	0	0	-1.630587e-08	5.6723555e-09	0
1.7700317851266756e-09	0.00035235737	0.00026256638	-0.9705888	-4e+11	0	0	-1.6389839e-08	5.7110063e-09	0
1.780035766241414e-09	0.00034465673	0.0002647955	-0.970587	-4e+11	0	0	-1.647609e-08	5.7473715e-09	0
1.790002989575912e-09	0.000336802	0.00026692636	-0.97058254	-4e+11	0	0	-1.656437e-08	5.7814864e-09	0
1.8000069679703023e-09	0.00032874232	0.00026897434	-0.97057545	-4e+11	0	0	-1.6654953e-08	5.8135834e-09	0
1.8100109523615673e-09	0.00032054208	0.000270918	-0.9705658	-4e+11	0	0	-1.6747903e-08	5.843395e-09	0
1.8200149343773799e-09	0.0003122189	0.00027276482	-0.9705536	-4e+11	0	0	-1.6842804e-08	5.8709486e-09	0
1.8300188969079986e-09	0.0003037931	0.00027450547	-0.9705391	-4e+11	0	0	-1.6939598e-08	5.8964083e-09	0
1.840022852084554e-09	0.00029529768	0.00027613807	-0.97052234	-4e+11	0	0	-1.7038177e-08	5.919506e-09	0
1.8500268095306911e-09	0.0002867494	0.00027766824	-0.9705035	-4e+11	0	0	-1.713868e-08	5.9404526e-09	0
1.8600307597530075e-09	0.0002781816	0.00027908478	-0.9704827	-4e+11	0	0	-1.724044e-08	5.959095e-09	0
1.8700347066047488e-09	0.0002696129	0.0002803933	-0.97046006	-4e+11	0	0	-1.7343833e-08	5.975609e-09	0
1.880001848931817e-09	0.00026110187	0.00028157793	-0.9704357	-4e+11	0	0	-1.7447913e-08	5.9901084e-09	0
1.890005768558709e-09	0.00025261176	0.00028266571	-0.97040975	-4e+11	0	0	-1.7553353e-08	6.002392e-09	0
1.9000096810950554e-09	0.00024418387	0.00028363522	-0.97038245	-4e+11	0	0	-1.7659897e-08	6.0126837e-09	0
1.9100136022573023e-09	0.00023585538	0.0002844981	-0.97035384	-4e+11	0	0	-1.7767272e-08	6.021038e-09	0
1.9200175057054884e-09	0.00022763119	0.00028524548	-0.97032404	-4e+11	0	0	-1.787555e-08	6.0273857e-09	0
1.9300214051465486e-09	0.00021953843	0.0002858895	-0.9702933	-4e+11	0	0	-1.7984451e-08	6.0318337e-09	0
1.940025306513449e-09	0.00021158232	0.00028641894	-0.9702615	-4e+11	0	0	-1.8093987e-08	6.034481e-09	0
1.9500291987260065e-09	0.00020379055	0.00028684968	-0.970229	-4e+11	0	0	-1.82034e-08	6.0355263e-09	0
1.960033079599416e-09	0.00019615782	0.00028717285	-0.9701957	-4e+11	0	0	-1.8313065e-08	6.034771e-09	0
1.9700001836878487e-09	0.00018874039	0.00028739963	-0.97016203	-4e+11	0	0	-1.842311e-08	6.0324363e-09	0
1.980004060597113e-09	0.0001814699	0.00028752536	-0.9701277	-4e+11	0	0	-1.8533141e-08	6.0286407e-09	0
1.9900079358252043e-09	0.00017440457	0.00028755935	-0.9700929	-4e+11	0	0	-1.8643304e-08	6.0232392e-09	0
2.00001178945646e-09	0.00016752753	0.00028750487	-0.9700577	-4e+11	0	0	-1.875312e-08	6.016548e-09	0
2.0100156562385845e-09	0.0001608601	0.00028735446	-0.9700223	-4e+11	0	0	-1.886306e-08	6.008522e-09	0
2.020019514823493e-09	0.00015439221	0.0002871314	-0.96998656	-4e+11	0	0	-1.8972557e-08	5.9992944e-09	0
2.0300233589918654e-09	0.00014813241	0.00028681755	-0.9699507	-4e+11	0	0	-1.908188e-08	5.9887695e-09	0
2.0400272070794525e-09	0.00014207874	0.00028643478	-0.9699148	-4e+11	0	0	-1.9190505e-08	5.9772263e-09	0
2.0500310481816412e-09	0.00013622793	0.00028597144	-0.9698788	-4e+11	0	0	-1.9298545e-08	5.964493e-09	0
2.060034858504562e-09	0.00013058374	0.00028544338	-0.9698427	-4e+11	0	0	-1.9406295e-08	5.9508554e-09	0
2.0700019285374357e-09	0.00012515699	0.00028485013	-0.96980685	-4e+11	0	0	-1.9512916e-08	5.9362524e-09	0
2.080005768013994e-09	0.00011991033	0.00028419122	-0.9697708	-4e+11	0	0	-1.9618867e-08	5.920708e-09	0
2.090009585352212e-09	0.00011485765	0.00028347597	-0.9697348	-4e+11	0	0	-1.9724679e-08	5.904484e-09	0
2.100013408865578e-09	0.00010999013	0.00028269924	-0.9696989	-4e+11	0	0	-1.9829491e-08	5.8874052e-09	0
