# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	1.3124677e-08	-0.9959687	0	7.496575e-19	-1.8947312e-20	4.712389	40
0	0.67612916	-0.67610735	0	6.703913e-19	-1.8190283e-20	5.497787	40
0	0.99597	-1.2917891e-08	0	7.4966464e-19	-1.8947334e-20	6.2831855	40
0	0.9972224	-1.0701995e-08	0	7.3814506e-19	-1.7184138e-20	0	35
0	0.6622452	0.6622351	0	6.0129005e-19	-1.6138612e-20	0.7853982	35
0	-1.3306585e-08	0.99722105	0	7.3813865e-19	-1.7184115e-20	1.5707964	35
0	-0.66224843	0.66223645	0	6.0129e-19	-1.6138669e-20	2.3561945	35
0	-0.9972222	1.6990368e-08	0	7.381449e-19	-1.7184134e-20	3.1415927	35
0	-0.6622489	-0.66223687	0	6.0128994e-19	-1.613868e-20	3.9269907	35
0	1.427855e-08	-0.99722105	0	7.381386e-19	-1.7184113e-20	4.712389	35
0	0.66225266	-0.66224223	0	6.0129e-19	-1.6138791e-20	5.497787	35
0	0.9972223	-1.8014218e-08	0	7.3814506e-19	-1.7184134e-20	6.2831855	35
0	0.9983651	-2.1370077e-08	0	7.295425e-19	-1.5366838e-20	0	30
0	0.6458984	0.6458929	0	5.2268023e-19	-1.4059582e-20	0.7853982	30
0	-1.9000142e-08	0.9983644	0	7.295376e-19	-1.5366825e-20	1.5707964	30
0	-0.64590055	0.64589506	0	5.226802e-19	-1.405963e-20	2.3561945	30
0	-0.9983651	1.6006744e-08	0	7.2954244e-19	-1.5366838e-20	3.1415927	30
0	-0.64589936	-0.6458938	0	5.226802e-19	-1.4059602e-20	3.9269907	30
0	1.5617562e-08	-0.9983644	0	7.295376e-19	-1.5366825e-20	4.712389	30
0	0.6458573	-0.6458519	0	5.2268023e-19	-1.4058687e-20	5.497787	30
0	0.9983651	-1.7441485e-08	0	7.295425e-19	-1.5366838e-20	6.2831855	30
0	0.9991119	-1.2129301e-08	0	7.0782895e-19	-1.3300179e-20	0	25
0	0.631421	0.6314185	0	4.3980444e-19	-1.1887115e-20	0.7853982	25
0	-1.7820499e-08	0.9991114	0	7.078261e-19	-1.3300172e-20	1.5707964	25
0	-0.6314226	0.63141876	0	4.3980444e-19	-1.1887132e-20	2.3561945	25
0	-0.99911183	1.6785634e-08	0	7.0782884e-19	-1.3300179e-20	3.1415927	25
0	-0.63142014	-0.63141763	0	4.398045e-19	-1.18870975e-20	3.9269907	25
0	1.37605145e-08	-0.9991114	0	7.0782605e-19	-1.33001724e-20	4.712389	25
0	0.63142264	-0.6314201	0	4.398045e-19	-1.1887145e-20	5.497787	25
0	0.99911183	-1.6166897e-08	0	7.078289e-19	-1.3300177e-20	6.2831855	25
0	0.99958116	-1.0049621e-08	0	6.7237867e-19	-1.100339e-20	0	20
0	0.6178329	0.61783165	0	3.5631208e-19	-9.618206e-21	0.7853982	20
0	-8.871931e-09	0.9995809	0	6.7237733e-19	-1.1003389e-20	1.5707964	20
0	-0.6178335	0.6178321	0	3.563121e-19	-9.618213e-21	2.3561945	20
0	-0.99958116	8.403561e-09	0	6.7237867e-19	-1.100339e-20	3.1415927	20
0	-0.6178333	-0.61783195	0	3.563121e-19	-9.618209e-21	3.9269907	20
0	1.0042852e-08	-0.999581	0	6.7237733e-19	-1.1003389e-20	4.712389	20
0	0.6178321	-0.6178308	0	3.563121e-19	-9.618193e-21	5.497787	20
0	0.9995813	-7.4397515e-09	0	6.723789e-19	-1.10033916e-20	6.2831855	20
0	0.9999159	-5.369629e-09	0	6.2903704e-19	-8.463289e-21	0	15
0	0.5974435	0.5974434	0	2.6104853e-19	-7.15134e-21	0.7853982	15
0	-3.3414937e-09	0.9999159	0	6.2903673e-19	-8.463289e-21	1.5707964	15
0	-0.59744006	0.59744	0	2.6104853e-19	-7.1513e-21	2.3561945	15
0	-0.9999159	4.1601425e-09	0	6.29037e-19	-8.4632896e-21	3.1415927	15
0	-0.5974433	-0.5974433	0	2.6104853e-19	-7.151339e-21	3.9269907	15
0	2.9554967e-09	-0.9999159	0	6.290367e-19	-8.463288e-21	4.712389	15
0	0.59744245	-0.5974423	0	2.6104853e-19	-7.151328e-21	5.497787	15
0	0.9999159	-4.7842517e-09	0	6.290371e-19	-8.463289e-21	6.2831855	15
0	0.999977	-9.32571e-10	0	5.5156765e-19	-5.9678626e-21	0	10
0	0.5858486	0.58584857	0	1.8509355e-19	-4.944578e-21	0.7853982	10
0	-1.3932386e-09	0.99997693	0	5.515675e-19	-5.967863e-21	1.5707964	10
0	-0.5858465	0.58584636	0	1.8509354e-19	-4.944559e-21	2.3561945	10
0	-0.999977	1.3582828e-09	0	5.5156755e-19	-5.9678626e-21	3.1415927	10
0	-0.5858461	-0.58584654	0	1.8509354e-19	-4.944559e-21	3.9269907	10
0	1.699414e-09	-0.99997693	0	5.5156744e-19	-5.967863e-21	4.712389	10
0	0.58585143	-0.58585125	0	1.8509354e-19	-4.9446014e-21	5.497787	10
0	0.999977	-1.2777596e-09	0	5.5156755e-19	-5.967863e-21	6.2831855	10
