# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.9919492	3.067943e-09	0	8.730336e-19	-3.0536167e-20	0	0.95	100	1e-09
0	0.701866	0.7018509	0	8.797856e-19	-3.0555512e-20	0.7853982	0.95	100	1e-09
0	0.9919435	1.0997738e-09	0	8.730335e-19	-3.0535986e-20	0	0.949	100	1e-09
0	0.70186293	0.7018543	0	8.797857e-19	-3.055552e-20	0.7853982	0.949	100	1e-09
0	0.9919492	1.7067793e-09	0	8.730336e-19	-3.053616e-20	0	0.948	100	1e-09
0	0.70184356	0.7018379	0	8.797857e-19	-3.0554743e-20	0.7853982	0.948	100	1e-09
0	0.9919492	-9.748876e-10	0	8.730337e-19	-3.0536164e-20	0	0.947	100	1e-09
0	0.7018634	0.701852	0	8.797857e-19	-3.0555483e-20	0.7853982	0.947	100	1e-09
0	0.9919851	-6.9970335e-10	0	8.728247e-19	-3.050553e-20	0	0.946	100	1e-09
0	0.7018523	0.701839	0	8.790683e-19	-3.0523197e-20	0.7853982	0.946	100	1e-09
0	0.991985	2.624372e-09	0	8.728244e-19	-3.0505526e-20	0	0.945	100	1e-09
0	0.7018524	0.70183814	0	8.790684e-19	-3.052318e-20	0.7853982	0.945	100	1e-09
0	0.991985	8.49529e-09	0	8.728245e-19	-3.0505526e-20	0	0.944	100	1e-09
0	0.7018489	0.70183253	0	8.790682e-19	-3.0522984e-20	0.7853982	0.944	100	1e-09
0	0.99197346	8.7117463e-10	0	8.721859e-19	-3.0473424e-20	0	0.943	100	1e-09
0	0.7018659	0.7018536	0	8.7875e-19	-3.049205e-20	0.7853982	0.943	100	1e-09
0	0.9919732	3.022918e-09	0	8.721858e-19	-3.047342e-20	0	0.942	100	1e-09
0	0.7018625	0.7018477	0	8.787499e-19	-3.0491842e-20	0.7853982	0.942	100	1e-09
0	0.9919731	4.095879e-09	0	8.721856e-19	-3.0473418e-20	0	0.941	100	1e-09
0	0.7018667	0.7018528	0	8.7875e-19	-3.0492042e-20	0.7853982	0.941	100	1e-09
0	0.9919362	1.6897823e-09	0	8.712506e-19	-3.0440537e-20	0	0.94	100	1e-09
0	0.7018543	0.70183885	0	8.780272e-19	-3.045971e-20	0.7853982	0.94	100	1e-09
0	0.99193627	-3.8651343e-10	0	8.712507e-19	-3.0440537e-20	0	0.939	100	1e-09
0	0.70185226	0.70184255	0	8.780272e-19	-3.0459743e-20	0.7853982	0.939	100	1e-09
0	0.9919361	2.886226e-09	0	8.712506e-19	-3.0440537e-20	0	0.938	100	1e-09
0	0.7018541	0.7018409	0	8.780273e-19	-3.0459753e-20	0.7853982	0.938	100	1e-09
0	0.9919175	8.652162e-09	0	8.704973e-19	-3.0408226e-20	0	0.937	100	1e-09
