# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)	Length (nm)
0	0.179813	0.9837009	0	1.1800234e-18	1.39	100
0	0.16996714	0.9854496	0	1.1800234e-18	1.4	100
0	0.16010429	0.9871003	0	1.1800234e-18	1.41	100
0	0.15022546	0.98865163	0	1.1800233e-18	1.42	100
0	0.14033161	0.9901044	0	1.1800232e-18	1.43	100
0	0.13042371	0.9914584	0	1.1800234e-18	1.44	100
0	0.12050276	0.9927131	0	1.1800233e-18	1.45	100
0	0.11056979	0.9938683	0	1.1800233e-18	1.46	100
0	0.10062573	0.9949244	0	1.1800233e-18	1.47	100
0	0.09067162	0.99588084	0	1.1800234e-18	1.48	100
0	0.08070846	0.9967377	0	1.1800234e-18	1.49	100
0	0.0707372	0.997495	0	1.1800234e-18	1.5	100
0	0.06075888	0.99815243	0	1.1800235e-18	1.51	100
0	0.050774485	0.9987103	0	1.1800236e-18	1.52	100
0	0.04078501	0.99916804	0	1.1800233e-18	1.53	100
0	0.030791461	0.99952596	0	1.1800233e-18	1.54	100
0	0.02079483	0.9997837	0	1.1800232e-18	1.55	100
0	0.010796117	0.9999418	0	1.1800235e-18	1.56	100
0	0.0007963267	0.9999996	0	1.1800233e-18	1.57	100
0	-0.009203543	0.99995774	0	1.1800236e-18	1.58	100
0	-0.019202493	0.9998158	0	1.1800233e-18	1.59	100
0	-0.029199528	0.9995737	0	1.1800236e-18	1.6	100
0	-0.039193626	0.99923164	0	1.1800234e-18	1.61	100
0	-0.049183827	0.9987897	0	1.1800234e-18	1.62	100
0	-0.0591691	0.9982479	0	1.1800234e-18	1.63	100
0	-0.06914845	0.99760646	0	1.1800234e-18	1.64	100
0	-0.07912089	0.99686515	0	1.1800232e-18	1.65	100
0	-0.08908543	0.99602395	0	1.1800234e-18	1.66	100
0	-0.09904104	0.9950833	0	1.1800234e-18	1.67	100
0	-0.10898676	0.9940432	0	1.1800234e-18	1.68	100
0	-0.11892157	0.9929037	0	1.1800234e-18	1.69	100
0	-0.1288445	0.99166495	0	1.1800235e-18	1.7	100
0	-0.13875452	0.99032676	0	1.1800234e-18	1.71	100
0	-0.1486507	0.9888899	0	1.1800233e-18	1.72	100
0	-0.158532	0.9873539	0	1.1800233e-18	1.73	100
0	-0.16839744	0.98571926	0	1.1800235e-18	1.74	100
0	-0.17824605	0.98398596	0	1.1800233e-18	1.75	100
0	-0.18807682	0.9821543	0	1.1800233e-18	1.76	100
0	-0.19788882	0.9802245	0	1.1800234e-18	1.77	100
0	-0.207681	0.9781967	0	1.1800234e-18	1.78	100
0	-0.21745242	0.9760709	0	1.1800234e-18	1.79	100
0	-0.22720212	0.9738476	0	1.1800234e-18	1.8	100
0	-0.23692906	0.97152686	0	1.1800234e-18	1.81	100
0	-0.2466323	0.96910906	0	1.1800234e-18	1.82	100
0	-0.25631085	0.96659446	0	1.1800234e-18	1.83	100
0	-0.26596388	0.96398294	0	1.1800234e-18	1.84	100
0	-0.27559024	0.9612753	0	1.1800234e-18	1.85	100
0	-0.28518903	0.9584713	0	1.1800234e-18	1.86	100
0	-0.29475936	0.9555714	0	1.1800236e-18	1.87	100
0	-0.30430016	0.9525763	0	1.1800235e-18	1.88	100
0	-0.3138106	0.9494857	0	1.1800236e-18	1.89	100
0	-0.32328957	0.9463002	0	1.1800233e-18	1.9	100
0	-0.33273625	0.94302005	0	1.1800234e-18	1.91	100
0	-0.34214965	0.9396454	0	1.1800234e-18	1.92	100
0	-0.35152888	0.93617713	0	1.1800236e-18	1.93	100
0	-0.3608729	0.93261504	0	1.1800234e-18	1.94	100
0	-0.37018085	0.92895985	0	1.1800235e-18	1.95	100
0	-0.37945172	0.92521155	0	1.1800234e-18	1.96	100
0	-0.38868475	0.9213708	0	1.1800234e-18	1.97	100
0	-0.39787886	0.917438	0	1.1800234e-18	1.98	100
0	-0.4070332	0.9134134	0	1.1800233e-18	1.99	100
0	-0.41614687	0.9092976	0	1.1800237e-18	2	100
0	-0.42521885	0.9050905	0	1.1800235e-18	2.01	100
0	-0.4342484	0.90079325	0	1.1800234e-18	2.02	100
0	-0.4432344	0.89640576	0	1.1800235e-18	2.03	100
0	-0.45217618	0.89192873	0	1.1800235e-18	2.04	100
0	-0.46107265	0.8873623	0	1.1800234e-18	2.05	100
0	-0.4699231	0.8827073	0	1.1800234e-18	2.06	100
0	-0.4787265	0.87796396	0	1.1800234e-18	2.07	100
0	-0.48748213	0.873133	0	1.1800235e-18	2.08	100
0	-0.4961889	0.86821455	0	1.1800234e-18	2.09	100
0	-0.50484616	0.8632095	0	1.1800234e-18	2.1	100
0	-0.5134529	0.85811776	0	1.1800233e-18	2.11	100
0	-0.5220082	0.85294044	0	1.1800234e-18	2.12	100
0	-0.5305113	0.8476778	0	1.1800235e-18	2.13	100
0	-0.53896147	0.8423304	0	1.1800235e-18	2.14	100
0	-0.5473577	0.83689874	0	1.1800234e-18	2.15	100
0	-0.55569917	0.83138347	0	1.1800234e-18	2.16	100
0	-0.5639851	0.82578516	0	1.1800238e-18	2.17	100
0	-0.57221454	0.8201041	0	1.1800238e-18	2.18	100
0	-0.58038694	0.8143409	0	1.1800235e-18	2.19	100
0	-0.5885011	0.8084964	0	1.1800235e-18	2.2	100
0	-0.5965565	0.8025711	0	1.1800234e-18	2.21	100
0	-0.60455227	0.7965655	0	1.1800235e-18	2.22	100
0	-0.6124876	0.7904802	0	1.1800239e-18	2.23	100
0	-0.6203617	0.78431594	0	1.1800233e-18	2.24	100
0	-0.62817365	0.77807313	0	1.1800235e-18	2.25	100
0	-0.63592285	0.77175283	0	1.1800237e-18	2.26	100
0	-0.64360845	0.765355	0	1.1800238e-18	2.27	100
0	-0.6512297	0.75888085	0	1.1800236e-18	2.28	100
0	-0.65878576	0.75233066	0	1.1800236e-18	2.29	100
0	-0.6662761	0.7457052	0	1.1800234e-18	2.3	100
0	-0.6736996	0.7390052	0	1.1800234e-18	2.31	100
0	-0.68105596	0.73223144	0	1.1800237e-18	2.32	100
0	-0.688344	0.7253844	0	1.1800236e-18	2.33	100
0	-0.69556326	0.71846473	0	1.1800235e-18	2.34	100
0	-0.7027132	0.71147335	0	1.1800238e-18	2.35	100
0	-0.70979255	0.7044108	0	1.1800235e-18	2.36	100
0	-0.71680105	0.69727784	0	1.1800237e-18	2.37	100
0	-0.72373784	0.690075	0	1.1800235e-18	2.38	100
0	-0.7306023	0.68280315	0	1.1800236e-18	2.39	100
0	-0.7373937	0.67546314	0	1.1800237e-18	2.4	100
0	-0.7441113	0.66805565	0	1.1800237e-18	2.41	100
0	-0.7507547	0.66058123	0	1.1800238e-18	2.42	100
0	-0.7573227	0.65304077	0	1.1800237e-18	2.43	100
0	-0.76381516	0.645435	0	1.1800235e-18	2.44	100
0	-0.7702314	0.6377648	0	1.1800238e-18	2.45	100
0	-0.77657044	0.63003075	0	1.1800238e-18	2.46	100
0	-0.78283167	0.62223357	0	1.1800236e-18	2.47	100
0	-0.78901464	0.6143743	0	1.1800238e-18	2.48	100
0	-0.79511887	0.60645354	0	1.1800235e-18	2.49	100
0	-0.80114377	0.5984722	0	1.1800237e-18	2.5	100
0	-0.8070882	0.5904309	0	1.1800237e-18	2.51	100
0	-0.81295204	0.58233064	0	1.1800237e-18	2.52	100
0	-0.8187346	0.57417214	0	1.1800235e-18	2.53	100
0	-0.82443535	0.56595623	0	1.1800235e-18	2.54	100
0	-0.8300536	0.5576838	0	1.1800238e-18	2.55	100
0	-0.8355889	0.54935545	0	1.1800238e-18	2.56	100
0	-0.84104043	0.5409722	0	1.1800236e-18	2.57	100
0	-0.846408	0.5325349	0	1.1800236e-18	2.58	100
0	-0.851691	0.52404433	0	1.1800237e-18	2.59	100
0	-0.8568889	0.5155014	0	1.1800236e-18	2.6	100
0	-0.8620007	0.5069068	0	1.1800235e-18	2.61	100
0	-0.86702675	0.49826166	0	1.1800235e-18	2.62	100
0	-0.871966	0.48956665	0	1.1800238e-18	2.63	100
0	-0.8768179	0.48082265	0	1.1800235e-18	2.64	100
0	-0.88158214	0.47203052	0	1.1800236e-18	2.65	100
0	-0.8862583	0.46319127	0	1.1800238e-18	2.66	100
0	-0.890846	0.4543057	0	1.1800237e-18	2.67	100
0	-0.89534426	0.44537467	0	1.1800236e-18	2.68	100
0	-0.8997532	0.43639907	0	1.1800237e-18	2.69	100
0	-0.90407217	0.42737988	0	1.1800236e-18	2.7	100
0	-0.90830076	0.41831797	0	1.180024e-18	2.71	100
