# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.99987566	6.198738e-11	0	1.5981132e-19	-2.4636938e-20	0	1	28	1e-09	3.08e-24
0	0.7070029	0.70700276	0	1.5974849e-19	-2.4636376e-20	0.7853982	1	28	1e-09	3.08e-24
0	0.9999469	3.1348983e-09	0	1.507388e-19	-2.239881e-20	0	1	27	1e-09	2.8e-24
0	0.70698303	0.706983	0	1.5023492e-19	-2.2396075e-20	0.7853982	1	27	1e-09	2.8e-24
0	0.99992496	1.4866668e-09	0	1.4706978e-19	-2.159838e-20	0	1	26	1e-09	2.7e-24
0	0.7070122	0.70701224	0	1.4684087e-19	-2.159711e-20	0.7853982	1	26	1e-09	2.7e-24
0	0.9999634	5.07032e-10	0	1.3715598e-19	-1.9359293e-20	0	1	25	1e-09	2.42e-24
0	0.70700514	0.70700514	0	1.3670724e-19	-1.9357217e-20	0.7853982	1	25	1e-09	2.42e-24
0	0.99994236	9.042976e-10	0	1.3044386e-19	-1.7918965e-20	0	1	24	1e-09	2.24e-24
0	0.7070573	0.7070573	0	1.3040979e-19	-1.7918747e-20	0.7853982	1	24	1e-09	2.24e-24
0	0.99998367	3.6864851e-09	0	1.2288646e-19	-1.6319735e-20	0	1	23	1e-09	2.04e-24
0	0.7070357	0.70703566	0	1.2253926e-19	-1.6318357e-20	0.7853982	1	23	1e-09	2.04e-24
0	0.99997234	1.5716068e-09	0	1.1796221e-19	-1.5359574e-20	0	1	22	1e-09	1.92e-24
0	0.7070609	0.7070608	0	1.1781758e-19	-1.5359e-20	0.7853982	1	22	1e-09	1.92e-24
0	0.99998593	1.3184386e-09	0	1.07019484e-19	-1.3279813e-20	0	1	21	1e-09	1.66e-24
0	0.7070629	0.70706284	0	1.06828147e-19	-1.3279174e-20	0.7853982	1	21	1e-09	1.66e-24
0	0.9999855	1.309304e-09	0	1.03672886e-19	-1.26398166e-20	0	1	20	1e-09	1.58e-24
0	0.7070786	0.7070786	0	1.0357878e-19	-1.2639495e-20	0.7853982	1	20	1e-09	1.58e-24
0	0.99999756	1.5022217e-09	0	9.4567624e-20	-1.10399725e-20	0	1	19	1e-09	1.38e-24
0	0.7070686	0.7070686	0	9.435877e-20	-1.1039405e-20	0.7853982	1	19	1e-09	1.38e-24
0	0.9999862	1.5033947e-09	0	8.9788685e-20	-1.0239859e-20	0	1	18	1e-09	1.28e-24
0	0.707093	0.7070929	0	8.977166e-20	-1.02398e-20	0.7853982	1	18	1e-09	1.28e-24
0	0.9999969	7.405308e-10	0	7.992456e-20	-8.639973e-21	0	1	17	1e-09	1.08e-24
0	0.7070906	0.7070906	0	7.9847564e-20	-8.639802e-21	0.7853982	1	17	1e-09	1.08e-24
0	0.9999966	1.4753403e-09	0	7.7842626e-20	-8.319972e-21	0	1	16	1e-09	1.04e-24
0	0.70709413	0.7070941	0	7.7788614e-20	-8.31985e-21	0.7853982	1	16	1e-09	1.04e-24
0	0.99999964	4.250513e-10	0	6.8187645e-20	-6.879997e-21	0	1	15	1e-09	8.6e-25
0	0.70709133	0.70709133	0	6.8100074e-20	-6.879849e-21	0.7853982	1	15	1e-09	8.6e-25
0	0.9999957	1.3372837e-09	0	6.363258e-20	-6.2399727e-21	0	1	14	1e-09	7.8e-25
0	0.7071048	0.70710486	0	6.364006e-20	-6.2399824e-21	0.7853982	1	14	1e-09	7.8e-25
0	0.9999984	6.9098127e-10	0	5.4012445e-20	-4.959992e-21	0	1	13	1e-09	6.2e-25
0	0.7070999	0.7070999	0	5.3981102e-20	-4.9599515e-21	0.7853982	1	13	1e-09	6.2e-25
0	0.9999997	4.5422763e-10	0	5.0172e-20	-4.4799985e-21	0	1	12	1e-09	5.6e-25
0	0.7071058	0.7071058	0	5.0167738e-20	-4.479994e-21	0.7853982	1	12	1e-09	5.6e-25
0	0.99999887	8.9692714e-10	0	4.1934758e-20	-3.5199964e-21	0	1	11	1e-09	4.4e-25
0	0.70710343	0.70710343	0	4.191959e-20	-3.519983e-21	0.7853982	1	11	1e-09	4.4e-25
0	0.9999994	4.3728504e-10	0	3.9142765e-20	-3.199998e-21	0	1	10	1e-09	4e-25
0	0.7071063	0.7071063	0	3.9143046e-20	-3.199998e-21	0.7853982	1	10	1e-09	4e-25
0	0.9921261	3.0686993e-09	0	5.615101e-19	-2.5668283e-19	0	0.65	100	1e-09	3.234e-23
0	0.70688754	0.7068833	0	6.149187e-19	-2.58639e-19	0.7853982	0.65	100	1e-09	3.234e-23
0	0.9924465	-1.1079018e-09	0	5.5688565e-19	-2.504141e-19	0	0.65	99	1e-09	3.154e-23
0	0.70685035	0.70684624	0	6.067748e-19	-2.522278e-19	0.7853982	0.65	99	1e-09	3.154e-23
0	0.99255437	3.6456338e-09	0	5.5495237e-19	-2.469475e-19	0	0.65	98	1e-09	3.11e-23
0	0.70689803	0.70689434	0	6.0410763e-19	-2.4872587e-19	0.7853982	0.65	98	1e-09	3.11e-23
0	0.99276644	1.5972551e-10	0	5.48319e-19	-2.408054e-19	0	0.65	97	1e-09	3.032e-23
0	0.7068669	0.7068636	0	5.9555257e-19	-2.4247714e-19	0.7853982	0.65	97	1e-09	3.032e-23
0	0.9928431	3.141811e-09	0	5.4507485e-19	-2.373292e-19	0	0.65	96	1e-09	2.988e-23
0	0.70689774	0.70689434	0	5.92016e-19	-2.3896873e-19	0.7853982	0.65	96	1e-09	2.988e-23
0	0.9930105	4.9133972e-09	0	5.386652e-19	-2.3164947e-19	0	0.65	95	1e-09	2.916e-23
0	0.70685565	0.70685256	0	5.837703e-19	-2.3319666e-19	0.7853982	0.65	95	1e-09	2.916e-23
0	0.9932338	8.9875885e-10	0	5.3683096e-19	-2.2725187e-19	0	0.65	94	1e-09	2.86e-23
0	0.70693195	0.70692927	0	5.806416e-19	-2.2874297e-19	0.7853982	0.65	94	1e-09	2.86e-23
0	0.99350023	-8.693233e-10	0	5.320802e-19	-2.2206716e-19	0	0.65	93	1e-09	2.794e-23
0	0.70688653	0.7068833	0	5.7281725e-19	-2.2344981e-19	0.7853982	0.65	93	1e-09	2.794e-23
0	0.9934148	9.347391e-10	0	5.2482413e-19	-2.1664388e-19	0	0.65	92	1e-09	2.726e-23
0	0.7069748	0.70697236	0	5.678649e-19	-2.180389e-19	0.7853982	0.65	92	1e-09	2.726e-23
