# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.9891456	-9.416754e-09	0	1.0047786e-18	-3.4453924e-20	0	0.47	128
0	0.6850507	0.6850031	0	9.985553e-19	-3.374435e-20	0.7853982	0.47	128
0	0.9893545	-1.3119124e-08	0	1.0034864e-18	-3.401796e-20	0	0.46	128
0	0.6821901	0.68214387	0	9.84269e-19	-3.317127e-20	0.7853982	0.46	128
0	0.9897499	-1.2191539e-08	0	1.004674e-18	-3.357232e-20	0	0.45	128
0	0.6791197	0.6790788	0	9.690776e-19	-3.257648e-20	0.7853982	0.45	128
0	0.9899623	-1.4116701e-08	0	9.993458e-19	-3.2945948e-20	0	0.44	128
0	0.67554337	0.6755079	0	9.482898e-19	-3.1793634e-20	0.7853982	0.44	128
0	0.9904445	-2.0470006e-08	0	1.0013707e-18	-3.2470736e-20	0	0.43	128
0	0.6725449	0.6725134	0	9.323665e-19	-3.1180854e-20	0.7853982	0.43	128
0	0.99080867	-1.5144957e-08	0	1.0011525e-18	-3.197538e-20	0	0.42	128
0	0.6696298	0.66960114	0	9.163447e-19	-3.0560915e-20	0.7853982	0.42	128
0	0.991278	1.2956815e-07	0	1.003709e-18	-3.1530574e-20	0	0.41	128
0	0.66621304	0.66618854	0	8.992119e-19	-2.996791e-20	0.7853982	0.41	128
0	0.9915424	-1.2262095e-08	0	9.979652e-19	-3.0904395e-20	0	0.4	128
0	0.66317976	0.66315895	0	8.777196e-19	-2.923132e-20	0.7853982	0.4	128
0	0.99199224	-1.55269e-08	0	9.983789e-19	-3.0426385e-20	0	0.39	128
0	0.6603098	0.6602906	0	8.6058837e-19	-2.864168e-20	0.7853982	0.39	128
0	0.9924173	-1.0250998e-08	0	9.972325e-19	-2.9804274e-20	0	0.38	128
0	0.65666336	0.6566471	0	8.3820693e-19	-2.788924e-20	0.7853982	0.38	128
0	0.9929022	-1.7425721e-08	0	9.989299e-19	-2.932636e-20	0	0.37	128
0	0.6534756	0.6534612	0	8.200549e-19	-2.729552e-20	0.7853982	0.37	128
0	0.9933241	-1.3601642e-08	0	9.959172e-19	-2.8703096e-20	0	0.36	128
0	0.65052027	0.65050787	0	7.99009e-19	-2.658333e-20	0.7853982	0.36	128
0	0.9937662	-1.2862675e-08	0	9.945537e-19	-2.8127563e-20	0	0.35	128
0	0.64727557	0.64726484	0	7.7675356e-19	-2.5908867e-20	0.7853982	0.35	128
0	0.994392	-1.5744785e-08	0	9.975477e-19	-2.754068e-20	0	0.34	128
0	0.6432319	0.64322346	0	7.5389236e-19	-2.5193983e-20	0.7853982	0.34	128
0	0.99466974	-2.5760382e-08	0	9.948893e-19	-2.7055018e-20	0	0.33	128
0	0.64109933	0.6410913	0	7.371915e-19	-2.4660763e-20	0.7853982	0.33	128
0	0.9952944	-1.9446286e-08	0	9.9474e-19	-2.633947e-20	0	0.32	128
0	0.63717306	0.63716686	0	7.1178706e-19	-2.3846565e-20	0.7853982	0.32	128
0	0.995577	-1.2572566e-08	0	9.850399e-19	-2.5661992e-20	0	0.31	128
0	0.63572353	0.6357179	0	6.924323e-19	-2.3173783e-20	0.7853982	0.31	128
0	0.99624485	-1.6948649e-08	0	9.893162e-19	-2.505755e-20	0	0.3	128
0	0.6313264	0.6313222	0	6.690723e-19	-2.2456395e-20	0.7853982	0.3	128
0	0.99646217	-2.127433e-08	0	9.828746e-19	-2.4393398e-20	0	0.29	128
0	0.6292332	0.6292291	0	6.472899e-19	-2.178395e-20	0.7853982	0.29	128
0	0.99697375	-1.5731784e-08	0	9.829374e-19	-2.3751908e-20	0	0.28	128
0	0.62564665	0.62564355	0	6.22871e-19	-2.1079378e-20	0.7853982	0.28	128
0	0.99726534	-2.817267e-08	0	9.783764e-19	-2.308869e-20	0	0.27	128
0	0.6231095	0.62309235	0	6.0248703e-19	-2.040149e-20	0.7853982	0.27	128
