# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.2287551	0.9734715	0	-1.5623496e-16	-1.5719809e-16	1.34	100
0	0.21900894	0.97571045	0	-1.5623496e-16	-1.571981e-16	1.35	100
0	0.20924093	0.97785187	0	-1.5623496e-16	-1.5719812e-16	1.36	100
0	0.19945191	0.9798954	0	-1.5623495e-16	-1.571981e-16	1.37	100
0	0.189643	0.98184097	0	-1.5623494e-16	-1.571981e-16	1.38	100
0	0.17981508	0.98368824	0	-1.5623495e-16	-1.5719814e-16	1.39	100
0	0.16996919	0.9854373	0	-1.5623492e-16	-1.5719812e-16	1.4	100
0	0.16010629	0.9870878	0	-1.5623491e-16	-1.5719814e-16	1.41	100
0	0.15022737	0.9886395	0	-1.5623491e-16	-1.5719813e-16	1.42	100
0	0.14033341	0.99009234	0	-1.5623491e-16	-1.5719813e-16	1.43	100
0	0.13042542	0.99144626	0	-1.562349e-16	-1.5719816e-16	1.44	100
0	0.12050438	0.9927009	0	-1.562349e-16	-1.5719816e-16	1.45	100
0	0.110571265	0.99385643	0	-1.5623488e-16	-1.5719816e-16	1.46	100
0	0.1006271	0.99491245	0	-1.5623488e-16	-1.5719816e-16	1.47	100
0	0.09067287	0.99586904	0	-1.5623488e-16	-1.5719816e-16	1.48	100
0	0.08070958	0.9967259	0	-1.562349e-16	-1.5719818e-16	1.49	100
0	0.070738204	0.9974833	0	-1.5623488e-16	-1.5719817e-16	1.5	100
0	0.060759753	0.9981407	0	-1.5623488e-16	-1.5719816e-16	1.51	100
0	0.050775215	0.9986985	0	-1.5623487e-16	-1.5719817e-16	1.52	100
0	0.0407856	0.9991563	0	-1.5623486e-16	-1.5719816e-16	1.53	100
0	0.030791905	0.9995143	0	-1.5623487e-16	-1.5719816e-16	1.54	100
0	0.02079513	0.99977213	0	-1.5623487e-16	-1.5719818e-16	1.55	100
0	0.010796273	0.99993	0	-1.5623488e-16	-1.571982e-16	1.56	100
0	0.00079633825	0.9999881	0	-1.5623488e-16	-1.5719817e-16	1.57	100
0	-0.009203677	0.99994606	0	-1.5623488e-16	-1.5719818e-16	1.58	100
0	-0.019202773	0.999804	0	-1.5623487e-16	-1.5719818e-16	1.59	100
0	-0.029199947	0.99956197	0	-1.5623487e-16	-1.571982e-16	1.6	100
0	-0.0391942	0.9992199	0	-1.5623487e-16	-1.5719817e-16	1.61	100
0	-0.049184527	0.9987781	0	-1.5623488e-16	-1.571982e-16	1.62	100
0	-0.059169937	0.9982363	0	-1.5623488e-16	-1.5719817e-16	1.63	100
0	-0.06914942	0.9975946	0	-1.5623487e-16	-1.5719816e-16	1.64	100
0	-0.07912199	0.9968532	0	-1.5623487e-16	-1.5719816e-16	1.65	100
0	-0.08908665	0.9960121	0	-1.562349e-16	-1.5719817e-16	1.66	100
0	-0.09904239	0.9950715	0	-1.5623488e-16	-1.5719816e-16	1.67	100
0	-0.108988225	0.99403125	0	-1.562349e-16	-1.5719816e-16	1.68	100
0	-0.11892315	0.9928916	0	-1.562349e-16	-1.5719816e-16	1.69	100
0	-0.12884618	0.9916526	0	-1.5623491e-16	-1.5719816e-16	1.7	100
0	-0.13875633	0.9903146	0	-1.562349e-16	-1.5719816e-16	1.71	100
0	-0.14865257	0.9888775	0	-1.5623491e-16	-1.5719814e-16	1.72	100
0	-0.15853396	0.9873415	0	-1.5623491e-16	-1.5719813e-16	1.73	100
0	-0.16839947	0.9857068	0	-1.5623492e-16	-1.5719816e-16	1.74	100
0	-0.17824817	0.98397344	0	-1.5623494e-16	-1.5719812e-16	1.75	100
0	-0.188079	0.98214173	0	-1.5623494e-16	-1.571981e-16	1.76	100
0	-0.197891	0.98021173	0	-1.5623494e-16	-1.5719812e-16	1.77	100
