# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.7052628	0.7052593	0	8.696401e-19	-2.6809835e-20	0.7853982	0.71	100	4e-09
0	0.9958924	-1.9566816e-08	0	8.541769e-19	-2.6259695e-20	0	0.7	100	4e-09
0	0.7059366	0.7059339	0	8.677633e-19	-2.6324315e-20	0.7853982	0.7	100	4e-09
0	0.9958924	-1.7577584e-08	0	8.5417684e-19	-2.6259695e-20	0	0.69	100	4e-09
0	0.7059371	0.7059338	0	8.677632e-19	-2.632432e-20	0.7853982	0.69	100	4e-09
0	0.9958924	-1.9566816e-08	0	8.541769e-19	-2.6259695e-20	0	0.68	100	4e-09
0	0.7059369	0.7059338	0	8.677632e-19	-2.632432e-20	0.7853982	0.68	100	4e-09
0	0.99562645	-1.099145e-08	0	8.4362496e-19	-2.574292e-20	0	0.67	100	4e-09
0	0.706389	0.7063872	0	8.6382037e-19	-2.582972e-20	0.7853982	0.67	100	4e-09
0	0.99445057	-2.2125967e-08	0	8.1980263e-19	-2.5203355e-20	0	0.66	100	4e-09
0	0.7066263	0.70662475	0	8.511019e-19	-2.532675e-20	0.7853982	0.66	100	4e-09
0	0.99530375	-1.6130123e-08	0	8.251611e-19	-2.4715384e-20	0	0.65	100	4e-09
0	0.7069013	0.70690185	0	8.498794e-19	-2.4824795e-20	0.7853982	0.65	100	4e-09
0	0.99530375	-1.6130123e-08	0	8.251611e-19	-2.4715384e-20	0	0.64	100	4e-09
0	0.7069014	0.70690197	0	8.4987943e-19	-2.4824795e-20	0.7853982	0.64	100	4e-09
0	0.99530375	-1.6130123e-08	0	8.251611e-19	-2.4715384e-20	0	0.63	100	4e-09
0	0.7069013	0.70690185	0	8.4987943e-19	-2.4824795e-20	0.7853982	0.63	100	4e-09
0	0.99530375	-1.6130123e-08	0	8.251611e-19	-2.4715384e-20	0	0.62	100	4e-09
0	0.7069014	0.70690185	0	8.4987943e-19	-2.4824795e-20	0.7853982	0.62	100	4e-09
0	0.99530375	-1.6130123e-08	0	8.251611e-19	-2.4715384e-20	0	0.61	100	4e-09
0	0.7069014	0.70690197	0	8.4987943e-19	-2.4824795e-20	0.7853982	0.61	100	4e-09
0	0.99601305	-1.9102021e-08	0	8.266232e-19	-2.396806e-20	0	0.6	100	4e-09
0	0.7065382	0.70653915	0	8.4264336e-19	-2.4044667e-20	0.7853982	0.6	100	4e-09
0	0.99601305	-1.9102021e-08	0	8.266232e-19	-2.396806e-20	0	0.59	100	4e-09
0	0.7065381	0.70653915	0	8.4264346e-19	-2.4044665e-20	0.7853982	0.59	100	4e-09
0	0.99601305	-1.9102021e-08	0	8.266232e-19	-2.396806e-20	0	0.58	100	4e-09
0	0.7065381	0.70653915	0	8.426434e-19	-2.4044665e-20	0.7853982	0.58	100	4e-09
0	0.99601305	-1.9102021e-08	0	8.266232e-19	-2.396806e-20	0	0.57	100	4e-09
0	0.7065381	0.70653915	0	8.426434e-19	-2.4044665e-20	0.7853982	0.57	100	4e-09
0	0.99601305	-2.2748049e-08	0	8.266231e-19	-2.396806e-20	0	0.56	100	4e-09
0	0.7065382	0.70653915	0	8.426434e-19	-2.4044665e-20	0.7853982	0.56	100	4e-09
