# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.9274566	-0.37386572	0	-1.0206682e-16	-1.0287753e-16	5.9	44.9
0	0.96014726	-0.27940682	0	-1.0206682e-16	-1.0287748e-16	6	44.9
0	0.9832443	-0.18215656	0	-1.0206684e-16	-1.0287745e-16	6.1	44.9
0	0.9965173	-0.083086625	0	-1.0206685e-16	-1.0287743e-16	6.2	44.9
0	0.9999748	-2.3137998e-10	0	-1.0190776e-16	-1.0271741e-16	0	44.8
0	0.99497926	0.09982969	0	-1.0190776e-16	-1.0271743e-16	0.1	44.8
0	0.98004264	0.19866218	0	-1.01907705e-16	-1.0271742e-16	0.2	44.8
0	0.9553139	0.29551023	0	-1.01907685e-16	-1.0271746e-16	0.3	44.8
0	0.9210399	0.3894061	0	-1.0190767e-16	-1.0271752e-16	0.4	44.8
0	0.877563	0.4794118	0	-1.01907646e-16	-1.0271756e-16	0.5	44.8
0	0.8253174	0.56462765	0	-1.0190762e-16	-1.0271758e-16	0.6	44.8
0	0.7648251	0.64420193	0	-1.0190759e-16	-1.02717614e-16	0.7	44.8
0	0.6966904	0.71733963	0	-1.01907586e-16	-1.027176e-16	0.8	44.8
0	0.6215944	0.7833094	0	-1.0190761e-16	-1.02717614e-16	0.9	44.8
0	0.54028773	0.84145236	0	-1.01907626e-16	-1.02717594e-16	1	44.8
0	0.45358276	0.89118725	0	-1.01907646e-16	-1.0271754e-16	1.1	44.8
0	0.36234614	0.93201756	0	-1.01907685e-16	-1.027175e-16	1.2	44.8
0	0.26748955	0.9635352	0	-1.01907725e-16	-1.0271748e-16	1.3	44.8
0	0.16996093	0.98542553	0	-1.01907725e-16	-1.0271742e-16	1.4	44.8
0	0.07073454	0.9974698	0	-1.0190776e-16	-1.0271742e-16	1.5	44.8
0	-0.029198416	0.99954844	0	-1.0190775e-16	-1.0271741e-16	1.6	44.8
0	-0.12883973	0.9916401	0	-1.0190774e-16	-1.0271742e-16	1.7	44.8
0	-0.22719403	0.9738241	0	-1.0190772e-16	-1.0271745e-16	1.8	44.8
0	-0.32327884	0.9462779	0	-1.0190769e-16	-1.027175e-16	1.9	44.8
0	-0.4161341	0.90927684	0	-1.0190767e-16	-1.0271754e-16	2	44.8
0	-0.50483197	0.8631903	0	-1.0190764e-16	-1.02717575e-16	2.1	44.8
0	-0.5884861	0.80847853	0	-1.0190762e-16	-1.02717594e-16	2.2	44.8
0	-0.6662601	0.7456883	0	-1.019076e-16	-1.02717614e-16	2.3	44.8
0	-0.7373769	0.67544717	0	-1.019076e-16	-1.027176e-16	2.4	44.8
0	-0.8011259	0.59845686	0	-1.0190761e-16	-1.027176e-16	2.5	44.8
0	-0.8568697	0.5154871	0	-1.0190763e-16	-1.0271758e-16	2.6	44.8
0	-0.9040518	0.42736697	0	-1.01907665e-16	-1.0271754e-16	2.7	44.8
