# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.58479774	0.58479744	0	2.892628e-19	-9.527371e-21	0.7853982	0.12	128
0	0.9999685	-1.4008278e-09	0	8.1819805e-19	-1.0175682e-20	0	0.11	128
0	0.5652154	0.5652152	0	2.3685037e-19	-8.134035e-21	0.7853982	0.11	128
0	0.99829566	-1.644266e-08	0	5.387667e-19	-1.2969858e-20	0	1	64
0	0.7051982	0.70519537	0	5.336975e-19	-1.2956908e-20	0.7853982	1	64
0	0.99829584	-1.769054e-08	0	5.3876677e-19	-1.296986e-20	0	0.99	64
0	0.7051981	0.7051956	0	5.336975e-19	-1.2956906e-20	0.7853982	0.99	64
0	0.9982594	-2.06003e-08	0	5.3557236e-19	-1.284161e-20	0	0.98	64
0	0.70536286	0.70536	0	5.3212493e-19	-1.28322475e-20	0.7853982	0.98	64
0	0.9982594	-2.173086e-08	0	5.3557236e-19	-1.2841609e-20	0	0.97	64
0	0.7053627	0.7053602	0	5.3212493e-19	-1.2832246e-20	0.7853982	0.97	64
0	0.9982477	-1.9459494e-08	0	5.321479e-19	-1.2713683e-20	0	0.96	64
0	0.7054258	0.7054226	0	5.2927157e-19	-1.2705694e-20	0.7853982	0.96	64
0	0.9981886	-2.0517462e-08	0	5.287621e-19	-1.2585163e-20	0	0.95	64
0	0.70561874	0.7056155	0	5.279014e-19	-1.258144e-20	0.7853982	0.95	64
0	0.997863	-1.4738776e-08	0	5.2296235e-19	-1.245333e-20	0	0.94	64
0	0.7058255	0.70582247	0	5.2551854e-19	-1.245736e-20	0.7853982	0.94	64
0	0.997863	-1.2799715e-08	0	5.2296235e-19	-1.245333e-20	0	0.93	64
0	0.70582557	0.70582235	0	5.255186e-19	-1.245736e-20	0.7853982	0.93	64
0	0.9978631	-1.41465515e-08	0	5.2296235e-19	-1.24533326e-20	0	0.92	64
0	0.70582557	0.70582235	0	5.2551854e-19	-1.2457359e-20	0.7853982	0.92	64
0	0.997863	-1.5713084e-08	0	5.2296235e-19	-1.245333e-20	0	0.91	64
0	0.70582515	0.70582277	0	5.2551854e-19	-1.2457359e-20	0.7853982	0.91	64
0	0.997863	-1.5340554e-08	0	5.229623e-19	-1.245333e-20	0	0.9	64
0	0.70582557	0.7058225	0	5.2551854e-19	-1.245736e-20	0.7853982	0.9	64
0	0.99786294	-1.5990093e-08	0	5.229623e-19	-1.245333e-20	0	0.89	64
0	0.7058253	0.7058225	0	5.255186e-19	-1.2457358e-20	0.7853982	0.89	64
0	0.99801064	-1.5716672e-08	0	5.2066677e-19	-1.2327429e-20	0	0.88	64
0	0.70580083	0.70579875	0	5.22088e-19	-1.232917e-20	0.7853982	0.88	64
0	0.99799573	-1.3048268e-08	0	5.1759907e-19	-1.21995e-20	0	0.87	64
0	0.7059406	0.7059385	0	5.202081e-19	-1.2203823e-20	0.7853982	0.87	64
0	0.99820936	-1.5489364e-08	0	5.1837367e-19	-1.2138226e-20	0	0.86	64
0	0.7060493	0.7060468	0	5.206529e-19	-1.2141794e-20	0.7853982	0.86	64
0	0.99769455	-9.333254e-09	0	5.0786656e-19	-1.18765575e-20	0	0.85	64
0	0.7063986	0.7063978	0	5.1557976e-19	-1.1892071e-20	0.7853982	0.85	64
0	0.99769455	-1.1726653e-08	0	5.078666e-19	-1.1876555e-20	0	0.84	64
0	0.7063989	0.7063974	0	5.155797e-19	-1.1892073e-20	0.7853982	0.84	64
0	0.99769443	-1.3158687e-08	0	5.078665e-19	-1.1876555e-20	0	0.83	64
0	0.7063986	0.7063978	0	5.155797e-19	-1.1892071e-20	0.7853982	0.83	64
0	0.99769455	-1.0615074e-08	0	5.078665e-19	-1.1876555e-20	0	0.82	64
0	0.7063991	0.7063974	0	5.155797e-19	-1.1892071e-20	0.7853982	0.82	64
0	0.9976654	-1.1398578e-08	0	5.0398166e-19	-1.1748508e-20	0	0.81	64
0	0.70642054	0.70641863	0	5.120983e-19	-1.1764555e-20	0.7853982	0.81	64
0	0.9976654	-1.3494054e-08	0	5.0398166e-19	-1.1748508e-20	0	0.8	64
0	0.7064204	0.70641863	0	5.120983e-19	-1.1764556e-20	0.7853982	0.8	64
0	0.9976652	-1.3423192e-08	0	5.039817e-19	-1.1748508e-20	0	0.79	64
0	0.70642054	0.7064186	0	5.120983e-19	-1.1764555e-20	0.7853982	0.79	64
0	0.99795145	-1.909723e-08	0	5.0445925e-19	-1.162414e-20	0	0.78	64
0	0.70660645	0.7066056	0	5.1202154e-19	-1.1639751e-20	0.7853982	0.78	64
0	0.9979516	-1.6702401e-08	0	5.044593e-19	-1.162414e-20	0	0.77	64
0	0.7066065	0.7066055	0	5.1202154e-19	-1.1639751e-20	0.7853982	0.77	64
0	0.997937	-1.2790164e-08	0	5.017661e-19	-1.1496236e-20	0	0.76	64
0	0.7067503	0.70674974	0	5.103999e-19	-1.1514188e-20	0.7853982	0.76	64
0	0.9974423	-1.0927166e-08	0	4.9058903e-19	-1.123519e-20	0	0.75	64
0	0.7069214	0.70692104	0	5.0354697e-19	-1.1261044e-20	0.7853982	0.75	64
0	0.9974423	-1.14087015e-08	0	4.9058903e-19	-1.123519e-20	0	0.74	64
0	0.70692134	0.7069211	0	5.035469e-19	-1.1261045e-20	0.7853982	0.74	64
0	0.99769497	-1.1851745e-08	0	4.9204255e-19	-1.1174185e-20	0	0.73	64
0	0.7069747	0.7069746	0	5.03686e-19	-1.1197907e-20	0.7853982	0.73	64
0	0.99769497	-1.4427517e-08	0	4.920426e-19	-1.1174185e-20	0	0.72	64
0	0.70697457	0.70697457	0	5.03686e-19	-1.1197907e-20	0.7853982	0.72	64
0	0.9976948	-1.3996448e-08	0	4.9204255e-19	-1.11741826e-20	0	0.71	64
0	0.7069747	0.7069746	0	5.03686e-19	-1.11979075e-20	0.7853982	0.71	64
0	0.9977619	-1.5654832e-08	0	4.9042474e-19	-1.104722e-20	0	0.7	64
0	0.7070401	0.70704025	0	5.019835e-19	-1.1070956e-20	0.7853982	0.7	64
0	0.99776196	-1.4077506e-08	0	4.9042474e-19	-1.104722e-20	0	0.69	64
0	0.7070401	0.70704025	0	5.0198355e-19	-1.1070958e-20	0.7853982	0.69	64
0	0.99776196	-1.0368366e-08	0	4.904247e-19	-1.104722e-20	0	0.68	64
0	0.70704	0.70704025	0	5.0198355e-19	-1.1070956e-20	0.7853982	0.68	64
0	0.99775463	-1.1742289e-08	0	4.878952e-19	-1.0919428e-20	0	0.67	64
0	0.70706826	0.70706856	0	4.99804e-19	-1.09434064e-20	0.7853982	0.67	64
0	0.99810624	-1.2469684e-08	0	4.860488e-19	-1.066776e-20	0	0.66	64
0	0.7070363	0.70703685	0	4.9570913e-19	-1.06869384e-20	0.7853982	0.66	64
0	0.9979964	-1.4223835e-08	0	4.8190855e-19	-1.05388424e-20	0	0.65	64
0	0.70699954	0.7070002	0	4.924988e-19	-1.0558402e-20	0.7853982	0.65	64
0	0.9976964	-1.47297525e-08	0	4.7492244e-19	-1.0407969e-20	0	0.64	64
0	0.70696706	0.7069679	0	4.8751694e-19	-1.0429945e-20	0.7853982	0.64	64
0	0.9976964	-1.2558571e-08	0	4.7492244e-19	-1.0407969e-20	0	0.63	64
0	0.70696706	0.7069678	0	4.87517e-19	-1.0429944e-20	0.7853982	0.63	64
0	0.99805593	-1.5726384e-08	0	4.7043824e-19	-1.0092343e-20	0	0.62	64
0	0.7067966	0.70679694	0	4.799322e-19	-1.0107568e-20	0.7853982	0.62	64
0	0.99805593	-1.4630016e-08	0	4.7043824e-19	-1.0092343e-20	0	0.61	64
0	0.7067966	0.70679694	0	4.799322e-19	-1.01075655e-20	0.7853982	0.61	64
0	0.99805593	-1.5372716e-08	0	4.7043824e-19	-1.0092343e-20	0	0.6	64
0	0.7067966	0.70679694	0	4.799321e-19	-1.0107568e-20	0.7853982	0.6	64
0	0.9980562	-1.5207672e-08	0	4.7043835e-19	-1.00923434e-20	0	0.59	64
0	0.70679647	0.7067968	0	4.799321e-19	-1.0107566e-20	0.7853982	0.59	64
0	0.99812824	-1.1659675e-08	0	4.6650614e-19	-9.8375516e-21	0	0.58	64
0	0.7062923	0.7062919	0	4.7396193e-19	-9.844645e-21	0.7853982	0.58	64
0	0.9981281	-1.24821415e-08	0	4.665062e-19	-9.8375516e-21	0	0.57	64
0	0.7062924	0.7062919	0	4.73962e-19	-9.844645e-21	0.7853982	0.57	64
0	0.9981281	-1.4114979e-08	0	4.665062e-19	-9.8375516e-21	0	0.56	64
0	0.7062924	0.70629185	0	4.7396193e-19	-9.844644e-21	0.7853982	0.56	64
0	0.9984544	-1.5062591e-08	0	4.6599054e-19	-9.585163e-21	0	0.55	64
0	0.7054728	0.7054712	0	4.6871564e-19	-9.5778056e-21	0.7853982	0.55	64
