# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	-0.023047227	0.99918675	0	-1.2068972e-17	-2.1000522e-21	-1.24650824e-17	1.59534	0.1	0.0003	1.1780972
0	-0.047214244	0.998338	0	-1.2075614e-17	-2.077009e-21	-1.2471757e-17	1.6198837	0.1	0.0003	1.1780972
0	-0.07136538	0.9969047	0	-1.2083148e-17	-2.052739e-21	-1.247933e-17	1.6444274	0.1	0.0003	1.1780972
0	-0.09545921	0.99488956	0	-1.2092433e-17	-2.027285e-21	-1.24886596e-17	1.6689711	0.1	0.0003	1.1780972
0	-0.119523674	0.9922898	0	-1.2103249e-17	-2.0006163e-21	-1.2499528e-17	1.6935148	0.1	0.0003	1.1780972
0	-0.14353001	0.98910725	0	-1.2116255e-17	-1.9727613e-21	-1.2512594e-17	1.7180585	0.1	0.0003	1.1780972
0	-0.16746718	0.9853421	0	-1.2131832e-17	-1.9437317e-21	-1.2528236e-17	1.7426022	0.1	0.0003	1.1780972
0	-0.19132254	0.98099536	0	-1.2150378e-17	-1.9135396e-21	-1.2546853e-17	1.7671459	0.1	0.0003	1.1780972
0	-0.21508509	0.9760674	0	-1.2172263e-17	-1.8821956e-21	-1.2568815e-17	1.7916895	0.1	0.0003	1.1780972
0	-0.23874182	0.9705596	0	-1.2197882e-17	-1.849714e-21	-1.25945155e-17	1.8162333	0.1	0.0003	1.1780972
0	-0.2622828	0.96447223	0	-1.22275765e-17	-1.8161043e-21	-1.26242965e-17	1.8407769	0.1	0.0003	1.1780972
0	-0.28569135	0.9578079	0	-1.22617805e-17	-1.7813868e-21	-1.2658592e-17	1.8653207	0.1	0.0003	1.1780972
0	-0.308957	0.9505673	0	-1.2300831e-17	-1.745572e-21	-1.2697738e-17	1.8898643	0.1	0.0003	1.1780972
0	-0.33206537	0.942753	0	-1.2345109e-17	-1.708678e-21	-1.2742114e-17	1.914408	0.1	0.0003	1.1780972
0	-0.3550032	0.93436694	0	-1.2394974e-17	-1.6707211e-21	-1.2792079e-17	1.9389517	0.1	0.0003	1.1780972
0	-0.37775475	0.925413	0	-1.2450805e-17	-1.6317223e-21	-1.2848014e-17	1.9634954	0.1	0.0003	1.1780972
