# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.072610565	0.9930586	0	-4.2676207e-17	-2.4455595e-19	-4.32555e-17	1.521709	0.1	0.01	1.1780972
0	0.052333806	0.9943017	0	-4.2902096e-17	-2.4284547e-19	-4.3482665e-17	1.5462526	0.1	0.01	1.1780972
0	0.03205191	0.99513906	0	-4.3126878e-17	-2.4103764e-19	-4.3708948e-17	1.5707964	0.1	0.01	1.1780972
0	0.011758065	0.99557227	0	-4.335061e-17	-2.391319e-19	-4.3934424e-17	1.59534	0.1	0.01	1.1780972
0	-0.008548565	0.9956006	0	-4.3573678e-17	-2.3712815e-19	-4.4159474e-17	1.6198837	0.1	0.01	1.1780972
0	-0.02887426	0.99522334	0	-4.3796166e-17	-2.350256e-19	-4.4384186e-17	1.6444274	0.1	0.01	1.1780972
0	-0.049199678	0.9944399	0	-4.4019525e-17	-2.3282596e-19	-4.4610003e-17	1.6689711	0.1	0.01	1.1780972
0	-0.0695466	0.993248	0	-4.4243045e-17	-2.3052653e-19	-4.483623e-17	1.6935148	0.1	0.01	1.1780972
0	-0.089904636	0.99164546	0	-4.4467694e-17	-2.281279e-19	-4.5063814e-17	1.7180585	0.1	0.01	1.1780972
0	-0.110277995	0.98962975	0	-4.4693713e-17	-2.2562897e-19	-4.5293016e-17	1.7426022	0.1	0.01	1.1780972
0	-0.13070135	0.98719275	0	-4.491975e-17	-2.230244e-19	-4.5522472e-17	1.7671459	0.1	0.01	1.1780972
0	-0.15108514	0.9843421	0	-4.515087e-17	-2.2032483e-19	-4.5757246e-17	1.7916895	0.1	0.01	1.1780972
0	-0.17151996	0.9810608	0	-4.5382867e-17	-2.1751735e-19	-4.5993145e-17	1.8162333	0.1	0.01	1.1780972
0	-0.19200477	0.9773424	0	-4.561631e-17	-2.1460036e-19	-4.6230734e-17	1.8407769	0.1	0.01	1.1780972
0	-0.21249105	0.97318876	0	-4.5854125e-17	-2.1157926e-19	-4.6472923e-17	1.8653207	0.1	0.01	1.1780972
0	-0.23302947	0.9685826	0	-4.6094262e-17	-2.0844478e-19	-4.6717685e-17	1.8898643	0.1	0.01	1.1780972
0	-0.2535777	0.9635249	0	-4.6339366e-17	-2.0520143e-19	-4.6967633e-17	1.914408	0.1	0.01	1.1780972
0	-0.27419963	0.95799047	0	-4.658677e-17	-2.018368e-19	-4.722013e-17	1.9389517	0.1	0.01	1.1780972
0	-0.29483438	0.95198417	0	-4.684005e-17	-1.9835816e-19	-4.747873e-17	1.9634954	0.1	0.01	1.1780972
0	-0.31545994	0.9455032	0	-4.7100845e-17	-1.9476696e-19	-4.7745063e-17	1.9880391	0.1	0.01	1.1780972
0	-0.33614993	0.9385114	0	-4.7366102e-17	-1.9104724e-19	-4.801608e-17	2.0125828	0.1	0.01	1.1780972
0	-0.35694802	0.9309801	0	-4.7634354e-17	-1.8718792e-19	-4.829034e-17	2.0371265	0.1	0.01	1.1780972
0	-0.37777743	0.9229151	0	-4.7910007e-17	-1.831979e-19	-4.8572194e-17	2.06167	0.1	0.01	1.1780972
0	-0.3986668	0.9142885	0	-4.8192333e-17	-1.7906768e-19	-4.886095e-17	2.0862138	0.1	0.01	1.1780972
0	-0.4196683	0.9050557	0	-4.847965e-17	-1.7478148e-19	-4.9154897e-17	2.1107576	0.1	0.01	1.1780972
0	-0.44063702	0.89525753	0	-4.8779473e-17	-1.703634e-19	-4.946151e-17	2.1353014	0.1	0.01	1.1780972
0	-0.46175265	0.8847854	0	-4.9084276e-17	-1.6576964e-19	-4.9773314e-17	2.1598449	0.1	0.01	1.1780972
0	-0.4828966	0.87366545	0	-4.940037e-17	-1.6101828e-19	-5.0096553e-17	2.1843886	0.1	0.01	1.1780972
0	-0.50409544	0.86185277	0	-4.9727435e-17	-1.5609594e-19	-5.0430892e-17	2.2089324	0.1	0.01	1.1780972
0	-0.52530473	0.84933823	0	-5.006833e-17	-1.5100472e-19	-5.0779182e-17	2.233476	0.1	0.01	1.1780972
0	-0.54652214	0.8360871	0	-5.0424067e-17	-1.4573667e-19	-5.114239e-17	2.2580197	0.1	0.01	1.1780972
0	-0.5676267	0.8221404	0	-5.0800712e-17	-1.403135e-19	-5.1526516e-17	2.2825634	0.1	0.01	1.1780972
0	-0.58876926	0.8073587	0	-5.1192742e-17	-1.3468704e-19	-5.192607e-17	2.3071072	0.1	0.01	1.1780972
0	-0.609801	0.79179937	0	-5.1607315e-17	-1.2888562e-19	-5.2348135e-17	2.3316507	0.1	0.01	1.1780972
0	-0.63067764	0.7754546	0	-5.2046998e-17	-1.2291184e-19	-5.279523e-17	2.3561945	0.1	0.01	1.1780972
0	-0.65132177	0.75834686	0	-5.2515517e-17	-1.1677874e-19	-5.3271024e-17	2.3807383	0.1	0.01	1.1780972
0	-0.67166364	0.7405005	0	-5.3016007e-17	-1.1049897e-19	-5.3778615e-17	2.4052818	0.1	0.01	1.1780972
0	-0.6916373	0.72194505	0	-5.3551193e-17	-1.040862e-19	-5.4320686e-17	2.4298255	0.1	0.01	1.1780972
0	-0.7111629	0.70273405	0	-5.4124e-17	-9.756106e-20	-5.4900123e-17	2.4543693	0.1	0.01	1.1780972
0	-0.7301577	0.68293756	0	-5.4737043e-17	-9.094857e-20	-5.55195e-17	2.478913	0.1	0.01	1.1780972
0	-0.74856406	0.6626147	0	-5.5391647e-17	-8.426848e-20	-5.6180155e-17	2.5034566	0.1	0.01	1.1780972
0	-0.76632345	0.6418395	0	-5.6088854e-17	-7.754435e-20	-5.68831e-17	2.5280004	0.1	0.01	1.1780972
0	-0.78337586	0.6207028	0	-5.682936e-17	-7.080383e-20	-5.762904e-17	2.552544	0.1	0.01	1.1780972
0	-0.7997016	0.5992594	0	-5.761232e-17	-6.406191e-20	-5.841713e-17	2.5770876	0.1	0.01	1.1780972
0	-0.81533575	0.5774933	0	-5.843508e-17	-5.731133e-20	-5.9244786e-17	2.6016314	0.1	0.01	1.1780972
0	-0.83016396	0.55560744	0	-5.929926e-17	-5.061193e-20	-6.0113584e-17	2.6261752	0.1	0.01	1.1780972
0	-0.8442249	0.5336013	0	-6.020182e-17	-4.395976e-20	-6.102054e-17	2.6507187	0.1	0.01	1.1780972
0	-0.8575439	0.51148725	0	-6.114016e-17	-3.7355224e-20	-6.1963114e-17	2.6752625	0.1	0.01	1.1780972
0	-0.8700854	0.48938593	0	-6.2113283e-17	-3.0830715e-20	-6.2940305e-17	2.6998062	0.1	0.01	1.1780972
0	-0.88200563	0.467066	0	-6.3115634e-17	-2.4315485e-20	-6.3946627e-17	2.72435	0.1	0.01	1.1780972
0	-0.89314765	0.44487813	0	-6.4149074e-17	-1.790886e-20	-6.4983924e-17	2.7488935	0.1	0.01	1.1780972
0	-0.9036574	0.4225898	0	-6.5208606e-17	-1.15408174e-20	-6.604727e-17	2.7734373	0.1	0.01	1.1780972
0	-0.91351634	0.40028474	0	-6.629306e-17	-5.2332276e-21	-6.713549e-17	2.797981	0.1	0.01	1.1780972
0	-0.92274064	0.37797573	0	-6.74005e-17	1.0125025e-21	-6.82467e-17	2.8225245	0.1	0.01	1.1780972
0	-0.93135226	0.35565832	0	-6.852904e-17	7.199559e-21	-6.937901e-17	2.8470683	0.1	0.01	1.1780972
0	-0.9393678	0.3333345	0	-6.9676924e-17	1.3329129e-20	-7.053069e-17	2.871612	0.1	0.01	1.1780972
0	-0.94682425	0.31093627	0	-7.0842196e-17	1.9421155e-20	-7.169982e-17	2.8961558	0.1	0.01	1.1780972
0	-0.95368654	0.28861356	0	-7.202401e-17	2.5436282e-20	-7.288553e-17	2.9206994	0.1	0.01	1.1780972
0	-0.959989	0.26630673	0	-7.322055e-17	3.139219e-20	-7.4086035e-17	2.9452431	0.1	0.01	1.1780972
0	-0.9657611	0.24394554	0	-7.4430175e-17	3.7308576e-20	-7.529971e-17	2.969787	0.1	0.01	1.1780972
0	-0.97099537	0.22159074	0	-7.565176e-17	4.317018e-20	-7.652542e-17	2.9943304	0.1	0.01	1.1780972
0	-0.9757114	0.19918863	0	-7.688391e-17	4.8991804e-20	-7.7761813e-17	3.0188742	0.1	0.01	1.1780972
0	-0.97990793	0.17677297	0	-7.812545e-17	5.476524e-20	-7.900769e-17	3.043418	0.1	0.01	1.1780972
0	-0.9835914	0.15433782	0	-7.937516e-17	6.049249e-20	-8.0261864e-17	3.0679617	0.1	0.01	1.1780972
0	-0.9867676	0.13187271	0	-8.063188e-17	6.617671e-20	-8.152315e-17	3.0925052	0.1	0.01	1.1780972
0	-0.989439	0.1093806	0	-8.189444e-17	7.181741e-20	-8.27904e-17	3.117049	0.1	0.01	1.1780972
0	-0.99160975	0.08683902	0	-8.3161715e-17	7.7420364e-20	-8.406251e-17	3.1415927	0.1	0.01	1.1780972
0	-0.99327904	0.06425976	0	-8.4432595e-17	8.298266e-20	-8.533834e-17	3.1661363	0.1	0.01	1.1780972
0	-0.9944472	0.041632585	0	-8.570596e-17	8.850679e-20	-8.661679e-17	3.19068	0.1	0.01	1.1780972
0	-0.9951123	0.018990366	0	-8.6980675e-17	9.398476e-20	-8.789673e-17	3.2152238	0.1	0.01	1.1780972
