# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)
0	-0.8011437	0.59847224	0	9.762034e-19	2.5
0	-0.8070882	0.5904309	0	9.760931e-19	2.51
0	-0.81295204	0.58233064	0	9.759764e-19	2.52
0	-0.8187346	0.5741721	0	9.758537e-19	2.53
0	-0.82443523	0.56595623	0	9.757247e-19	2.54
0	-0.83005357	0.55768377	0	9.755903e-19	2.55
0	-0.8355889	0.5493555	0	9.7545e-19	2.56
0	-0.84104043	0.5409722	0	9.753042e-19	2.57
0	-0.8464081	0.53253496	0	9.751534e-19	2.58
0	-0.85169095	0.52404433	0	9.749975e-19	2.59
0	-0.85688883	0.5155014	0	9.748369e-19	2.6
0	-0.8620008	0.50690687	0	9.746723e-19	2.61
0	-0.86702675	0.49826163	0	9.745032e-19	2.62
0	-0.871966	0.48956665	0	9.743308e-19	2.63
0	-0.8768179	0.48082262	0	9.74154e-19	2.64
0	-0.88158214	0.47203052	0	9.739742e-19	2.65
0	-0.88625836	0.4631913	0	9.737916e-19	2.66
0	-0.8908459	0.4543057	0	9.736061e-19	2.67
0	-0.8953443	0.4453746	0	9.734179e-19	2.68
0	-0.8997532	0.43639907	0	9.732279e-19	2.69
0	-0.90407217	0.42737988	0	9.73036e-19	2.7
0	-0.9083007	0.418318	0	9.728427e-19	2.71
0	-0.91243845	0.4092142	0	9.72648e-19	2.72
0	-0.91648483	0.4000695	0	9.724521e-19	2.73
0	-0.92043954	0.3908848	0	9.72256e-19	2.74
0	-0.9243024	0.381661	0	9.720597e-19	2.75
0	-0.9280727	0.37239903	0	9.718634e-19	2.76
0	-0.93175024	0.36309984	0	9.716669e-19	2.77
0	-0.9353347	0.35376438	0	9.714717e-19	2.78
0	-0.93882537	0.34439343	0	9.712771e-19	2.79
0	-0.94222236	0.33498815	0	9.710841e-19	2.8
0	-0.94552505	0.3255493	0	9.708926e-19	2.81
0	-0.9487332	0.31607804	0	9.707029e-19	2.82
0	-0.95184666	0.306575	0	9.705154e-19	2.83
0	-0.9548647	0.29704136	0	9.703303e-19	2.84
0	-0.95778733	0.287478	0	9.701486e-19	2.85
0	-0.9606141	0.2778859	0	9.699692e-19	2.86
0	-0.9633449	0.26826608	0	9.697936e-19	2.87
0	-0.96597946	0.25861934	0	9.696217e-19	2.88
0	-0.9685171	0.24894679	0	9.694534e-19	2.89
0	-0.97095805	0.23924933	0	9.692897e-19	2.9
0	-0.97330195	0.22952795	0	9.6913e-19	2.91
0	-0.97554874	0.21978363	0	9.689758e-19	2.92
0	-0.97769773	0.21001731	0	9.688258e-19	2.93
0	-0.979749	0.20023002	0	9.686814e-19	2.94
0	-0.98170227	0.19042265	0	9.685421e-19	2.95
0	-0.98355734	0.18059629	0	9.68409e-19	2.96
0	-0.985314	0.17075182	0	9.682812e-19	2.97
0	-0.9869724	0.16089031	0	9.681598e-19	2.98
0	-0.9885318	0.1510127	0	9.680446e-19	2.99
0	-0.9899926	0.14112	0	9.679358e-19	3
0	-0.99135405	0.13121319	0	9.678338e-19	3.01
