# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-Msat (kA/m)
0	0.35333624	0.62209046	0	-1.4269628e-17	-1.6157868e-17	0	1.5707964	1.5707964	0.9852873	-0.1223532	0	0.07749078	0.98875636	0	-0.0027692907	0.99986804	0	0.66	100	2e-09	-100	500
0	0.35320202	0.62185794	0	-1.4269627e-17	-1.6157868e-17	0	3.1415927	1.5707964	0.9851999	-0.12307611	0	0.07717419	0.9887819	0	-0.002768054	0.9998681	0	0.66	100	2e-09	-100	500
0	0.3712406	0.047703363	0	-1.3996551e-17	-1.6157959e-17	0	4.712389	1.5707964	0.98478806	0.12604594	0	0.12527716	-0.98280954	0	0.0036564681	0.9998737	0	0.66	100	2e-09	-100	500
0	-0.07323761	0.9906161	0	-1.4246113e-17	-1.6157823e-17	1.5707964	0	1.5707964	-0.080785714	0.98926157	0	-0.13543285	0.98272145	0	-0.003494273	0.9998654	0	0.66	100	2e-09	-100	500
0	-0.07336237	0.9906041	0	-1.4246115e-17	-1.6157823e-17	1.5707964	1.5707964	1.5707964	-0.08103212	0.989242	0	-0.13556097	0.98270494	0	-0.0034940178	0.9998653	0	0.66	100	2e-09	-100	500
0	-0.5753786	0.5242037	0	-1.4313757e-17	-1.615792e-17	1.5707964	3.1415927	1.5707964	-0.9909882	-0.05921332	0	-0.73393315	0.63195324	0	-0.0012144826	0.9998712	0	0.66	100	2e-09	-100	500
0	-0.575379	0.5242035	0	-1.4313758e-17	-1.6157916e-17	1.5707964	4.712389	1.5707964	-0.99098825	-0.059212945	0	-0.7339342	0.6319521	0	-0.0012144756	0.9998712	0	0.66	100	2e-09	-100	500
0	-0.44286907	0.6107965	0	-1.4311414e-17	-1.615785e-17	3.1415927	0	1.5707964	-0.98755306	-0.102384716	0	-0.338391	0.9349075	0	-0.0026632256	0.9998669	0	0.66	100	2e-09	-100	500
0	-0.44291863	0.6107988	0	-1.4311414e-17	-1.615785e-17	3.1415927	1.5707964	1.5707964	-0.9875589	-0.10232728	0	-0.33853415	0.9348568	0	-0.0026628224	0.9998669	0	0.66	100	2e-09	-100	500
0	-0.57537854	0.52420384	0	-1.4313758e-17	-1.6157918e-17	3.1415927	3.1415927	1.5707964	-0.9909882	-0.059213456	0	-0.7339328	0.63195366	0	-0.0012144851	0.99987113	0	0.66	100	2e-09	-100	500
0	-0.5753769	0.52420497	0	-1.431376e-17	-1.6157916e-17	3.1415927	4.712389	1.5707964	-0.9909882	-0.059215	0	-0.7339282	0.6319588	0	-0.0012145175	0.99987113	0	0.66	100	2e-09	-100	500
0	-0.062072843	0.33149484	0	-1.4314054e-17	-1.615786e-17	4.712389	0	1.5707964	-0.06304102	-0.9909767	0	-0.120936595	0.98559374	0	-0.0022409323	0.9998675	0	0.66	100	2e-09	-100	500
0	-0.06222819	0.33149472	0	-1.4314056e-17	-1.615786e-17	4.712389	1.5707964	1.5707964	-0.06334406	-0.99095786	0	-0.12109989	0.98557454	0	-0.0022406424	0.99986744	0	0.66	100	2e-09	-100	500
0	-0.06266292	0.33149517	0	-1.4314056e-17	-1.615786e-17	4.712389	3.1415927	1.5707964	-0.064202525	-0.99090415	0	-0.12154639	0.9855222	0	-0.0022398666	0.9998675	0	0.66	100	2e-09	-100	500
0	-0.06243577	0.33150658	0	-1.4314054e-17	-1.6157858e-17	4.712389	4.712389	1.5707964	-0.063948184	-0.9909201	0	-0.12111816	0.98557246	0	-0.0022409577	0.9998675	0	0.66	100	2e-09	-100	500
0	0.34569177	0.62187827	0	-1.7376322e-17	-1.9388255e-17	0	0	1.5707964	0.9850696	-0.1241248	0	0.05471339	0.98995274	0	-0.0027076935	0.9998068	0	0.66	100	2e-09	-100	600
0	0.3456791	0.62187487	0	-1.7376322e-17	-1.9388255e-17	0	1.5707964	1.5707964	0.98506814	-0.124136984	0	0.054676767	0.9899549	0	-0.0027075924	0.9998068	0	0.66	100	2e-09	-100	600
0	0.34567901	0.6218751	0	-1.7376322e-17	-1.9388255e-17	0	3.1415927	1.5707964	0.9850682	-0.12413642	0	0.05467634	0.9899549	0	-0.002707591	0.9998068	0	0.66	100	2e-09	-100	600
0	0.3446721	0.047936585	0	-1.7048636e-17	-1.9388354e-17	0	4.712389	1.5707964	0.98397356	0.13226108	0	0.046174508	-0.98826325	0	0.0038682907	0.9998119	0	0.66	100	2e-09	-100	600
0	-0.08258602	0.9894752	0	-1.735685e-17	-1.93882e-17	1.5707964	0	1.5707964	-0.09396097	0.9881391	0	-0.15034333	0.98048234	0	-0.0034537683	0.9998042	0	0.66	100	2e-09	-100	600
0	-0.082576945	0.98947614	0	-1.735685e-17	-1.93882e-17	1.5707964	1.5707964	1.5707964	-0.09394401	0.9881407	0	-0.15033305	0.98048395	0	-0.0034537902	0.9998042	0	0.66	100	2e-09	-100	600
0	-0.3474031	0.8665588	0	-1.7330273e-17	-1.9388288e-17	1.5707964	3.1415927	1.5707964	-0.33710095	0.93538344	0	-0.7033533	0.6644846	0	-0.0017551346	0.9998086	0	0.66	100	2e-09	-100	600
0	-0.34736842	0.86658007	0	-1.7330273e-17	-1.9388288e-17	1.5707964	4.712389	1.5707964	-0.33702898	0.9354085	0	-0.70332086	0.6645232	0	-0.0017553029	0.9998086	0	0.66	100	2e-09	-100	600
