# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-s (nm)
0	0.6543633	0.4268457	0	-2.3416773e-17	-2.58476e-17	0	0	1.5707964	0.9888732	0.08433428	0	0.97397155	0.19652772	0	0.00024517096	0.99967504	0	0.66	100	2e-09	-100	-50
0	0.6543637	0.4268869	0	-2.341677e-17	-2.58476e-17	0	1.5707964	1.5707964	0.9888538	0.08456652	0	0.9739928	0.1964191	0	0.0002443074	0.99967504	0	0.66	100	2e-09	-100	-50
0	0.65435356	0.42689005	0	-2.341677e-17	-2.5847598e-17	0	3.1415927	1.5707964	0.9888758	0.08430103	0	0.9739392	0.1966941	0	0.0002457795	0.99967504	0	0.66	100	2e-09	-100	-50
0	0.6543523	0.42698663	0	-2.341677e-17	-2.5847598e-17	0	4.712389	1.5707964	0.98883593	0.08478335	0	0.9739769	0.19650161	0	0.00024409102	0.99967504	0	0.66	100	2e-09	-100	-50
0	0.35297933	0.71332604	0	-2.3414598e-17	-2.5847813e-17	1.5707964	0	1.5707964	0.07915424	0.9896309	0	0.98197436	0.15066367	0	-0.0021906462	0.9996833	0	0.66	100	2e-09	-100	-50
0	0.019745931	0.98530203	0	-2.3401396e-17	-2.5848289e-17	1.5707964	1.5707964	1.5707964	-0.14010085	0.9830891	0	0.19862895	0.9731153	0	0.0007097098	0.9997018	0	0.66	100	2e-09	-100	-50
0	-0.64665914	0.44908544	0	-2.33831e-17	-2.584806e-17	1.5707964	3.1415927	1.5707964	-0.9913615	0.05672637	0	-0.94956464	0.29083714	0	0.0009486402	0.99969304	0	0.66	100	2e-09	-100	-50
0	0.09496824	0.3556761	0	-2.3296917e-17	-2.584716e-17	1.5707964	4.712389	1.5707964	-0.080015324	0.98970574	0	0.37009558	-0.9223355	0	-0.0051755644	0.9996581	0	0.66	100	2e-09	-100	-50
0	-0.33521882	0.6632314	0	-2.3446277e-17	-2.5848e-17	3.1415927	0	1.5707964	-0.9930111	-0.0020692332	0	-0.015444806	0.9920728	0	0.002799473	0.9996906	0	0.66	100	2e-09	-100	-50
0	-0.33523697	0.66322905	0	-2.3446277e-17	-2.5848e-17	3.1415927	1.5707964	1.5707964	-0.9930112	-0.0020751	0	-0.01549926	0.99207175	0	0.0027995154	0.9996906	0	0.66	100	2e-09	-100	-50
