# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var2-s (nm)	var1-d (nm)
0	-0.4375168	0.6135655	0	-2.3507045e-17	-2.5847224e-17	3.1415927	0	1.5707964	-0.9879023	-0.09905558	0	-0.32289058	0.94009155	0	-0.00175771	0.99966055	0	0.66	100	2e-09	20	-106
0	-0.4375246	0.6135676	0	-2.3507042e-17	-2.5847222e-17	3.1415927	1.5707964	1.5707964	-0.98790365	-0.09904183	0	-0.32291257	0.94008416	0	-0.0017576644	0.99966055	0	0.66	100	2e-09	20	-106
0	-0.56022406	0.5384997	0	-2.3505173e-17	-2.5847212e-17	3.1415927	3.1415927	1.5707964	-0.9908133	-0.062346127	0	-0.6891022	0.67818516	0	-0.00075691	0.99966025	0	0.66	100	2e-09	20	-106
0	-0.56022304	0.5385001	0	-2.3505174e-17	-2.5847214e-17	3.1415927	4.712389	1.5707964	-0.990813	-0.062348403	0	-0.6890993	0.6781884	0	-0.00075692195	0.99966025	0	0.66	100	2e-09	20	-106
0	-0.06977875	0.33175537	0	-2.3504008e-17	-2.5847227e-17	4.712389	0	1.5707964	-0.08308254	-0.9895319	0	-0.12499386	0.98513734	0	-0.0012598265	0.9996607	0	0.66	100	2e-09	20	-106
0	-0.06977622	0.33175555	0	-2.3504008e-17	-2.584723e-17	4.712389	1.5707964	1.5707964	-0.083079785	-0.9895321	0	-0.124989055	0.98513794	0	-0.0012598363	0.99966073	0	0.66	100	2e-09	20	-106
0	-0.069985785	0.33175915	0	-2.3504005e-17	-2.584723e-17	4.712389	3.1415927	1.5707964	-0.083508976	-0.98949695	0	-0.12518878	0.98511374	0	-0.0012595882	0.9996607	0	0.66	100	2e-09	20	-106
0	-0.06998403	0.33175912	0	-2.3504005e-17	-2.5847227e-17	4.712389	4.712389	1.5707964	-0.08350541	-0.98949724	0	-0.1251871	0.9851139	0	-0.0012595906	0.9996607	0	0.66	100	2e-09	20	-106
0	0.3543669	0.62238705	0	-2.344018e-17	-2.584734e-17	0	0	1.5707964	0.98539203	-0.121449105	0	0.07925047	0.98894525	0	-0.0015418618	0.9996651	0	0.66	100	2e-09	20	-108
0	0.35435575	0.6223832	0	-2.344018e-17	-2.584734e-17	0	1.5707964	1.5707964	0.9853903	-0.12146337	0	0.07921855	0.98894787	0	-0.0015417885	0.9996651	0	0.66	100	2e-09	20	-108
0	0.35430336	0.6222487	0	-2.3440183e-17	-2.5847338e-17	0	3.1415927	1.5707964	0.985341	-0.12187579	0	0.079110466	0.98895687	0	-0.0015413257	0.9996651	0	0.66	100	2e-09	20	-108
0	0.38861474	0.05086991	0	-2.3137984e-17	-2.584783e-17	0	4.712389	1.5707964	0.9844516	0.12855846	0	0.17934984	-0.9756328	0	0.0020427674	0.9996841	0	0.66	100	2e-09	20	-108
0	-0.078234345	0.9902088	0	-2.3423503e-17	-2.5847306e-17	1.5707964	0	1.5707964	-0.101966605	0.9873805	0	-0.13046443	0.9835823	0	-0.0022719738	0.9996638	0	0.66	100	2e-09	20	-108
0	-0.07793291	0.9902414	0	-2.3423503e-17	-2.5847306e-17	1.5707964	1.5707964	1.5707964	-0.10135803	0.9874412	0	-0.13016829	0.98361933	0	-0.002272408	0.9996638	0	0.66	100	2e-09	20	-108
0	-0.56210303	0.5371233	0	-2.3490282e-17	-2.5847286e-17	1.5707964	3.1415927	1.5707964	-0.9909007	-0.06091333	0	-0.6948294	0.6726204	0	-0.0005789313	0.99966294	0	0.66	100	2e-09	20	-108
0	0.3543571	0.6223859	0	-2.344018e-17	-2.584734e-17	1.5707964	4.712389	1.5707964	0.9853914	-0.12145471	0	0.07922163	0.98894763	0	-0.0015418	0.9996651	0	0.66	100	2e-09	20	-108
0	-0.43586335	0.61421984	0	-2.3492058e-17	-2.5847298e-17	3.1415927	0	1.5707964	-0.9879377	-0.09869177	0	-0.31809235	0.9416879	0	-0.0015599094	0.9996635	0	0.66	100	2e-09	20	-108
0	-0.43586498	0.61423177	0	-2.3492055e-17	-2.5847298e-17	3.1415927	1.5707964	1.5707964	-0.98794127	-0.09865534	0	-0.31809393	0.9416872	0	-0.0015599299	0.9996634	0	0.66	100	2e-09	20	-108
0	-0.562103	0.5371086	0	-2.3490282e-17	-2.5847286e-17	3.1415927	3.1415927	1.5707964	-0.9908982	-0.060955368	0	-0.6948318	0.6726182	0	-0.00057889207	0.999663	0	0.66	100	2e-09	20	-108
0	-0.56180674	0.5373314	0	-2.3490282e-17	-2.5847286e-17	3.1415927	4.712389	1.5707964	-0.9908809	-0.061243363	0	-0.69395655	0.6735746	0	-0.00058262335	0.99966294	0	0.66	100	2e-09	20	-108
0	-0.06579998	0.33205056	0	-2.3489585e-17	-2.5847301e-17	4.712389	0	1.5707964	-0.08022058	-0.98976314	0	-0.11611152	0.9862512	0	-0.0010678417	0.99966365	0	0.66	100	2e-09	20	-108
0	-0.06579874	0.3320505	0	-2.348959e-17	-2.5847303e-17	4.712389	1.5707964	1.5707964	-0.080218	-0.98976344	0	-0.11611034	0.98625124	0	-0.001067843	0.9996637	0	0.66	100	2e-09	20	-108
0	-0.066000864	0.332054	0	-2.3489587e-17	-2.5847306e-17	4.712389	3.1415927	1.5707964	-0.08062914	-0.9897309	0	-0.11630585	0.9862292	0	-0.0010676124	0.99966365	0	0.66	100	2e-09	20	-108
0	-0.065800115	0.33205053	0	-2.3489585e-17	-2.5847306e-17	4.712389	4.712389	1.5707964	-0.08022089	-0.98976314	0	-0.11611161	0.9862512	0	-0.0010678415	0.9996637	0	0.66	100	2e-09	20	-108
0	0.35847077	0.62242717	0	-2.3428963e-17	-2.5847399e-17	0	0	1.5707964	0.9855096	-0.12046963	0	0.09128454	0.98808384	0	-0.0013819189	0.9996672	0	0.66	100	2e-09	20	-110
0	0.35853916	0.62253654	0	-2.342896e-17	-2.5847399e-17	0	1.5707964	1.5707964	0.9855502	-0.12012623	0	0.09144977	0.9880685	0	-0.0013824356	0.9996672	0	0.66	100	2e-09	20	-110
0	0.3584568	0.62240225	0	-2.342896e-17	-2.5847399e-17	0	3.1415927	1.5707964	0.9855002	-0.12054733	0	0.09125191	0.9880869	0	-0.0013818105	0.9996672	0	0.66	100	2e-09	20	-110
0	0.4019838	0.052645247	0	-2.3150244e-17	-2.5847892e-17	0	4.712389	1.5707964	0.9847412	0.12630582	0	0.21949607	-0.96805656	0	0.0017140857	0.9996864	0	0.66	100	2e-09	20	-110
0	-0.073848285	0.99073625	0	-2.341133e-17	-2.5847371e-17	1.5707964	0	1.5707964	-0.097732656	0.98779523	0	-0.12171366	0.9847474	0	-0.0020985347	0.9996663	0	0.66	100	2e-09	20	-110
0	-0.073905066	0.9907305	0	-2.341133e-17	-2.5847368e-17	1.5707964	1.5707964	1.5707964	-0.09784846	0.98778415	0	-0.12176829	0.98474103	0	-0.002098461	0.9996663	0	0.66	100	2e-09	20	-110
