# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)
0	0.048944067	0.3245543	0	-3.2846608e-18	-5.1231584e-18	0.19634955	2.6507187	0.66	1e-07	1.28e-07	0
0	0.027527286	0.27900502	0	-3.286264e-18	-5.1217547e-18	0.19634955	2.7488935	0.66	1e-07	1.28e-07	0
0	0.011327537	0.2329203	0	-3.2885004e-18	-5.1205507e-18	0.19634955	2.8470683	0.66	1e-07	1.28e-07	0
0	-1.7836801e-09	0.18653205	0	-3.290734e-18	-5.119693e-18	0.19634955	2.9452431	0.66	1e-07	1.28e-07	0
0	-0.006703607	0.13996033	0	-3.2925277e-18	-5.1192115e-18	0.19634955	3.043418	0.66	1e-07	1.28e-07	0
0	-0.008922902	0.09329147	0	-3.2936266e-18	-5.119091e-18	0.19634955	3.1415927	0.66	1e-07	1.28e-07	0
0	-0.006702522	0.04660937	0	-3.2939471e-18	-5.1193182e-18	0.19634955	3.2397673	0.66	1e-07	1.28e-07	0
0	6.5401604e-09	-1.5607201e-09	0	-3.2935666e-18	-5.1198948e-18	0.19634955	3.3379421	0.66	1e-07	1.28e-07	0
0	0.011321158	-0.046448506	0	-3.2927324e-18	-5.1208258e-18	0.19634955	3.436117	0.66	1e-07	1.28e-07	0
0	0.027503785	-0.092615	0	-3.2918744e-18	-5.122072e-18	0.19634955	3.5342917	0.66	1e-07	1.28e-07	0
0	0.048882034	-0.13825884	0	-3.2916085e-18	-5.1234744e-18	0.19634955	3.6324666	0.66	1e-07	1.28e-07	0
0	0.07577171	-0.182859	0	-3.292697e-18	-5.124688e-18	0.19634955	3.7306414	0.66	1e-07	1.28e-07	0
0	0.10822164	-0.22546963	0	-3.2959063e-18	-5.1252156e-18	0.19634955	3.828816	0.66	1e-07	1.28e-07	0
0	0.14567146	-0.26473987	0	-3.3017514e-18	-5.12468e-18	0.19634955	3.9269907	0.66	1e-07	1.28e-07	0
0	0.18690516	-0.2993581	0	-3.3102556e-18	-5.1231634e-18	0.19634955	4.0251656	0.66	1e-07	1.28e-07	0
0	0.23050003	-0.32858405	0	-3.3209087e-18	-5.1211935e-18	0.19634955	4.12334	0.66	1e-07	1.28e-07	0
0	0.2753394	-0.3523442	0	-3.3328832e-18	-5.1193633e-18	0.19634955	4.221515	0.66	1e-07	1.28e-07	0
0	0.32076865	-0.37094325	0	-3.345295e-18	-5.1180258e-18	0.19634955	4.3196898	0.66	1e-07	1.28e-07	0
0	0.36647785	-0.38476822	0	-3.3573867e-18	-5.1172726e-18	0.19634955	4.417865	0.66	1e-07	1.28e-07	0
0	0.41231713	-0.3941336	0	-3.368579e-18	-5.117044e-18	0.19634955	4.5160394	0.66	1e-07	1.28e-07	0
0	0.458195	-0.39925143	0	-3.3784807e-18	-5.1172284e-18	0.19634955	4.6142144	0.66	1e-07	1.28e-07	0
0	0.50403017	-0.40024048	0	-3.386862e-18	-5.117724e-18	0.19634955	4.712389	0.66	1e-07	1.28e-07	0
0	0.54973984	-0.39714205	0	-3.393645e-18	-5.118462e-18	0.19634955	4.8105636	0.66	1e-07	1.28e-07	0
0	0.59524107	-0.38992393	0	-3.3988944e-18	-5.119411e-18	0.19634955	4.9087386	0.66	1e-07	1.28e-07	0
