# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	island1_angle (rad)	island2_angle (rad)	Cell_size (m)
0	0.7139149	-0.3825666	0	-3.5145217e-18	-5.178982e-18	0.09817477	5.105088	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7532504	-0.36134493	0	-3.5291884e-18	-5.178621e-18	0.09817477	5.203263	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.78947073	-0.3375587	0	-3.5414634e-18	-5.1789464e-18	0.09817477	5.3014374	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.82291025	-0.31128824	0	-3.5508395e-18	-5.1796135e-18	0.09817477	5.3996124	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.85373795	-0.2825337	0	-3.5570446e-18	-5.180401e-18	0.09817477	5.497787	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.8820403	-0.251461	0	-3.5599926e-18	-5.181253e-18	0.09817477	5.595962	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9078072	-0.21780187	0	-3.5597776e-18	-5.182161e-18	0.09817477	5.6941366	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9310092	-0.18146874	0	-3.5566843e-18	-5.183282e-18	0.09817477	5.7923117	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.95150405	-0.14211483	0	-3.551242e-18	-5.1848285e-18	0.09817477	5.8904862	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9690711	-0.09916262	0	-3.544291e-18	-5.1870544e-18	0.09817477	5.988661	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9831695	-0.051941752	0	-3.537084e-18	-5.189998e-18	0.09817477	6.086836	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9927694	-2.0063303e-06	0	-3.531316e-18	-5.1930217e-18	0.09817477	6.1850104	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9964096	0.055637866	0	-3.5287744e-18	-5.194554e-18	0.09817477	6.2831855	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.98700976	0.10765052	0	-3.5340704e-18	-5.191695e-18	0.19634955	0	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9840045	0.16357377	0	-3.5351768e-18	-5.1907527e-18	0.19634955	0.09817477	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9749201	0.21602088	0	-3.5396274e-18	-5.1881256e-18	0.19634955	0.19634955	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.961228	0.26376525	0	-3.5456597e-18	-5.1854075e-18	0.19634955	0.2945243	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.94397384	0.30725318	0	-3.5515657e-18	-5.1832974e-18	0.19634955	0.3926991	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9236986	0.34724328	0	-3.5560697e-18	-5.1818047e-18	0.19634955	0.49087384	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9007167	0.38411424	0	-3.5583106e-18	-5.180748e-18	0.19634955	0.5890486	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.87510943	0.41836205	0	-3.5577534e-18	-5.1798865e-18	0.19634955	0.6872234	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.84695697	0.45001307	0	-3.5541048e-18	-5.179121e-18	0.19634955	0.7853982	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.81621367	0.4793753	0	-3.54727e-18	-5.1783794e-18	0.19634955	0.88357294	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.78282404	0.5062578	0	-3.537331e-18	-5.1778065e-18	0.19634955	0.9817477	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7466241	0.5307205	0	-3.524565e-18	-5.1775873e-18	0.19634955	1.0799224	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7072494	0.55262995	0	-3.50948e-18	-5.1780952e-18	0.19634955	1.1780972	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.6641831	0.57184047	0	-3.492901e-18	-5.1797066e-18	0.19634955	1.276272	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.616576	0.58784664	0	-3.4760896e-18	-5.182773e-18	0.19634955	1.3744467	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.56353676	0.599737	0	-3.4608559e-18	-5.186992e-18	0.19634955	1.4726216	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.5052799	0.60586405	0	-3.4493959e-18	-5.19064e-18	0.19634955	1.5707964	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.44537848	0.6046963	0	-3.443282e-18	-5.191251e-18	0.19634955	1.6689711	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.3888311	0.5966969	0	-3.4421312e-18	-5.1889114e-18	0.19634955	1.7671459	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.33762518	0.5835134	0	-3.4440446e-18	-5.185689e-18	0.19634955	1.8653207	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.2913481	0.56650907	0	-3.4470223e-18	-5.1828606e-18	0.19634955	1.9634954	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.2491478	0.546264	0	-3.449572e-18	-5.1807418e-18	0.19634955	2.06167	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.21030398	0.52323043	0	-3.4507094e-18	-5.1791966e-18	0.19634955	2.1598449	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.17443198	0.49741954	0	-3.4498279e-18	-5.1780712e-18	0.19634955	2.2580197	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.14128302	0.46890917	0	-3.4466054e-18	-5.1772358e-18	0.19634955	2.3561945	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.1107801	0.4376972	0	-3.440939e-18	-5.1766696e-18	0.19634955	2.4543693	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.08289794	0.40370744	0	-3.4329222e-18	-5.176456e-18	0.19634955	2.552544	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.057681985	0.36672243	0	-3.4228682e-18	-5.176808e-18	0.19634955	2.6507187	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.035255034	0.3262777	0	-3.411359e-18	-5.17805e-18	0.19634955	2.7488935	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.01582116	0.2818295	0	-3.3993575e-18	-5.180471e-18	0.19634955	2.8470683	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	-1.5462707e-06	0.23228341	0	-3.3883611e-18	-5.184123e-18	0.19634955	2.9452431	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	-0.010968139	0.17659867	0	-3.3805335e-18	-5.188017e-18	0.19634955	3.043418	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	-0.014999502	0.115860164	0	-3.3783229e-18	-5.1894177e-18	0.19634955	3.1415927	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	-0.010894711	0.05536055	0	-3.3828612e-18	-5.186556e-18	0.19634955	3.2397673	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	-3.4029702e-06	-2.2120517e-07	0	-3.3927783e-18	-5.181763e-18	0.19634955	3.3379421	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.01563441	-0.04937908	0	-3.405588e-18	-5.177648e-18	0.19634955	3.436117	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.03482899	-0.09378233	0	-3.4191786e-18	-5.1749672e-18	0.19634955	3.5342917	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.057035536	-0.13424192	0	-3.4321018e-18	-5.173603e-18	0.19634955	3.6324666	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.08201213	-0.1714002	0	-3.443424e-18	-5.1731524e-18	0.19634955	3.7306414	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.1096521	-0.20565435	0	-3.4525836e-18	-5.1732996e-18	0.19634955	3.828816	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.13990389	-0.2371753	0	-3.4592778e-18	-5.1738203e-18	0.19634955	3.9269907	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.17279434	-0.26605386	0	-3.4634154e-18	-5.1746136e-18	0.19634955	4.0251656	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
