# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.961754	0.22616872	0	-4.017776e-18	-5.7874113e-18	0.09817477	0.3926991	0.81	1e-07	1.28e-07	0	4e-09
0	0.9424554	0.26879707	0	-4.01206e-18	-5.787486e-18	0.09817477	0.49087384	0.81	1e-07	1.28e-07	0	4e-09
0	0.91898465	0.30967927	0	-4.0055154e-18	-5.7875586e-18	0.09817477	0.5890486	0.81	1e-07	1.28e-07	0	4e-09
0	0.89148796	0.34839287	0	-3.998296e-18	-5.7876037e-18	0.09817477	0.6872234	0.81	1e-07	1.28e-07	0	4e-09
0	0.8601754	0.38450888	0	-3.990547e-18	-5.7876e-18	0.09817477	0.7853982	0.81	1e-07	1.28e-07	0	4e-09
0	0.8253219	0.41761303	0	-3.982387e-18	-5.787526e-18	0.09817477	0.88357294	0.81	1e-07	1.28e-07	0	4e-09
0	0.7872719	0.4473107	0	-3.973906e-18	-5.787365e-18	0.09817477	0.9817477	0.81	1e-07	1.28e-07	0	4e-09
0	0.7464195	0.47326013	0	-3.965159e-18	-5.7871185e-18	0.09817477	1.0799224	0.81	1e-07	1.28e-07	0	4e-09
0	0.7031915	0.4951797	0	-3.956166e-18	-5.7867955e-18	0.09817477	1.1780972	0.81	1e-07	1.28e-07	0	4e-09
0	0.6580302	0.51284856	0	-3.9469274e-18	-5.7864216e-18	0.09817477	1.276272	0.81	1e-07	1.28e-07	0	4e-09
0	0.6113761	0.5261054	0	-3.9374298e-18	-5.7860295e-18	0.09817477	1.3744467	0.81	1e-07	1.28e-07	0	4e-09
0	0.563656	0.5348386	0	-3.9276657e-18	-5.785659e-18	0.09817477	1.4726216	0.81	1e-07	1.28e-07	0	4e-09
0	0.51528	0.5389739	0	-3.9176407e-18	-5.7853484e-18	0.09817477	1.5707964	0.81	1e-07	1.28e-07	0	4e-09
0	0.46664605	0.5384638	0	-3.907392e-18	-5.7851316e-18	0.09817477	1.6689711	0.81	1e-07	1.28e-07	0	4e-09
0	0.4181499	0.5332799	0	-3.8969885e-18	-5.785037e-18	0.09817477	1.7671459	0.81	1e-07	1.28e-07	0	4e-09
0	0.37019408	0.52341425	0	-3.886537e-18	-5.785076e-18	0.09817477	1.8653207	0.81	1e-07	1.28e-07	0	4e-09
0	0.3232047	0.5088826	0	-3.8761766e-18	-5.7852487e-18	0.09817477	1.9634954	0.81	1e-07	1.28e-07	0	4e-09
0	0.27762982	0.4897381	0	-3.8660697e-18	-5.7855407e-18	0.09817477	2.06167	0.81	1e-07	1.28e-07	0	4e-09
0	0.23394637	0.46608302	0	-3.856391e-18	-5.785921e-18	0.09817477	2.1598449	0.81	1e-07	1.28e-07	0	4e-09
0	0.19263996	0.43808118	0	-3.8473196e-18	-5.786359e-18	0.09817477	2.2580197	0.81	1e-07	1.28e-07	0	4e-09
0	0.1542154	0.4059712	0	-3.8390164e-18	-5.786809e-18	0.09817477	2.3561945	0.81	1e-07	1.28e-07	0	4e-09
0	0.119152546	0.3700671	0	-3.8316147e-18	-5.7872306e-18	0.09817477	2.4543693	0.81	1e-07	1.28e-07	0	4e-09
0	0.08789644	0.33075267	0	-3.8252206e-18	-5.7875987e-18	0.09817477	2.552544	0.81	1e-07	1.28e-07	0	4e-09
0	0.06083744	0.28846782	0	-3.8198944e-18	-5.787892e-18	0.09817477	2.6507187	0.81	1e-07	1.28e-07	0	4e-09
0	0.03829993	0.24369375	0	-3.815667e-18	-5.788103e-18	0.09817477	2.7488935	0.81	1e-07	1.28e-07	0	4e-09
0	0.020535309	0.19692886	0	-3.8125404e-18	-5.7882336e-18	0.09817477	2.8470683	0.81	1e-07	1.28e-07	0	4e-09
0	0.0077279503	0.14867844	0	-3.8104997e-18	-5.788291e-18	0.09817477	2.9452431	0.81	1e-07	1.28e-07	0	4e-09
0	-1.7105086e-09	0.09944367	0	-3.80952e-18	-5.7882828e-18	0.09817477	3.043418	0.81	1e-07	1.28e-07	0	4e-09
0	-0.0025819	0.049722467	0	-3.809578e-18	-5.7882183e-18	0.09817477	3.1415927	0.81	1e-07	1.28e-07	0	4e-09
0	4.999948e-09	2.1792537e-10	0	-3.8106565e-18	-5.788106e-18	0.09817477	3.2397673	0.81	1e-07	1.28e-07	0	4e-09
0	0.007717002	-0.049235594	0	-3.8127492e-18	-5.787953e-18	0.09817477	3.3379421	0.81	1e-07	1.28e-07	0	4e-09
0	0.02049313	-0.09749466	0	-3.8158565e-18	-5.7877625e-18	0.09817477	3.436117	0.81	1e-07	1.28e-07	0	4e-09
0	0.038200352	-0.14428201	0	-3.819985e-18	-5.7875354e-18	0.09817477	3.5342917	0.81	1e-07	1.28e-07	0	4e-09
