# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.9975491	-3.532744e-09	0	-2.7213235e-18	-4.354102e-18	0	0	0.49	1e-07	2.92e-07	0	4e-09
0	0.49966538	0.498341	0	-2.717376e-18	-4.35409e-18	1.5707964	0	0.49	1e-07	2.92e-07	0	4e-09
0	0.9975491	-6.1713563e-09	0	-2.7211614e-18	-4.354102e-18	0	0	0.49	1e-07	2.96e-07	0	4e-09
0	0.4996264	0.49835956	0	-2.7173758e-18	-4.3540906e-18	1.5707964	0	0.49	1e-07	2.96e-07	0	4e-09
0	0.997549	-4.4299275e-09	0	-2.7210077e-18	-4.3541017e-18	0	0	0.49	1e-07	3e-07	0	4e-09
0	0.49959192	0.49837598	0	-2.717375e-18	-4.3540906e-18	1.5707964	0	0.49	1e-07	3e-07	0	4e-09
0	0.997549	-2.6640032e-09	0	-2.7208628e-18	-4.3541013e-18	0	0	0.49	1e-07	3.04e-07	0	4e-09
0	0.49956104	0.4983907	0	-2.717375e-18	-4.354091e-18	1.5707964	0	0.49	1e-07	3.04e-07	0	4e-09
0	0.99754894	-2.6260019e-09	0	-2.7207255e-18	-4.3541013e-18	0	0	0.49	1e-07	3.08e-07	0	4e-09
0	0.49952972	0.49840567	0	-2.7173748e-18	-4.3540914e-18	1.5707964	0	0.49	1e-07	3.08e-07	0	4e-09
0	0.9975488	-5.264166e-09	0	-2.7205952e-18	-4.3541013e-18	0	0	0.49	1e-07	3.12e-07	0	4e-09
0	0.49950036	0.49841976	0	-2.7173741e-18	-4.3540914e-18	1.5707964	0	0.49	1e-07	3.12e-07	0	4e-09
0	0.9975488	-3.0821041e-09	0	-2.7204709e-18	-4.354101e-18	0	0	0.49	1e-07	3.16e-07	0	4e-09
0	0.4994704	0.49843404	0	-2.7173743e-18	-4.354092e-18	1.5707964	0	0.49	1e-07	3.16e-07	0	4e-09
0	0.99754876	-3.6721928e-09	0	-2.7203536e-18	-4.354101e-18	0	0	0.49	1e-07	3.2e-07	0	4e-09
0	0.49944595	0.4984458	0	-2.7173741e-18	-4.3540922e-18	1.5707964	0	0.49	1e-07	3.2e-07	0	4e-09
0	0.9975488	-3.368875e-09	0	-2.720242e-18	-4.3541005e-18	0	0	0.49	1e-07	3.24e-07	0	4e-09
0	0.4994205	0.498458	0	-2.7173735e-18	-4.3540922e-18	1.5707964	0	0.49	1e-07	3.24e-07	0	4e-09
0	0.99754864	-3.8502193e-09	0	-2.7201363e-18	-4.354101e-18	0	0	0.49	1e-07	3.28e-07	0	4e-09
0	0.4993968	0.49846932	0	-2.7173735e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.28e-07	0	4e-09
0	0.99754864	-4.8341375e-09	0	-2.7200354e-18	-4.3541005e-18	0	0	0.49	1e-07	3.32e-07	0	4e-09
0	0.49937397	0.49848038	0	-2.7173735e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.32e-07	0	4e-09
