# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.99754936	-4.816385e-09	0	-2.722525e-18	-4.3541034e-18	0	0	0.49	1e-07	2.68e-07	0	4e-09
0	0.4999369	0.49821234	0	-2.7173795e-18	-4.354087e-18	1.5707964	0	0.49	1e-07	2.68e-07	0	4e-09
0	0.99754936	-5.8108656e-09	0	-2.7222934e-18	-4.3541034e-18	0	0	0.49	1e-07	2.72e-07	0	4e-09
0	0.49988455	0.49823704	0	-2.717378e-18	-4.3540877e-18	1.5707964	0	0.49	1e-07	2.72e-07	0	4e-09
0	0.9975493	-2.9455467e-09	0	-2.7220758e-18	-4.3541034e-18	0	0	0.49	1e-07	2.76e-07	0	4e-09
0	0.49983528	0.4982604	0	-2.7173776e-18	-4.3540885e-18	1.5707964	0	0.49	1e-07	2.76e-07	0	4e-09
0	0.9975492	-3.5401269e-09	0	-2.721871e-18	-4.3541026e-18	0	0	0.49	1e-07	2.8e-07	0	4e-09
0	0.49978906	0.4982822	0	-2.717377e-18	-4.3540885e-18	1.5707964	0	0.49	1e-07	2.8e-07	0	4e-09
0	0.9975492	-2.976955e-09	0	-2.721678e-18	-4.3541026e-18	0	0	0.49	1e-07	2.84e-07	0	4e-09
0	0.49974522	0.49830306	0	-2.7173766e-18	-4.3540893e-18	1.5707964	0	0.49	1e-07	2.84e-07	0	4e-09
0	0.9975492	-4.9064917e-09	0	-2.7214958e-18	-4.3541026e-18	0	0	0.49	1e-07	2.88e-07	0	4e-09
0	0.4997039	0.49832267	0	-2.7173766e-18	-4.3540897e-18	1.5707964	0	0.49	1e-07	2.88e-07	0	4e-09
0	0.9975491	-4.2100696e-09	0	-2.7213235e-18	-4.354102e-18	0	0	0.49	1e-07	2.92e-07	0	4e-09
0	0.49966526	0.49834105	0	-2.7173758e-18	-4.35409e-18	1.5707964	0	0.49	1e-07	2.92e-07	0	4e-09
0	0.9975491	-5.5961715e-09	0	-2.7211616e-18	-4.354102e-18	0	0	0.49	1e-07	2.96e-07	0	4e-09
0	0.499629	0.49835828	0	-2.7173758e-18	-4.3540906e-18	1.5707964	0	0.49	1e-07	2.96e-07	0	4e-09
0	0.997549	-4.6962145e-09	0	-2.721008e-18	-4.354102e-18	0	0	0.49	1e-07	3e-07	0	4e-09
0	0.4995916	0.49837613	0	-2.717375e-18	-4.3540906e-18	1.5707964	0	0.49	1e-07	3e-07	0	4e-09
0	0.99754894	-2.4369977e-09	0	-2.7208628e-18	-4.3541013e-18	0	0	0.49	1e-07	3.04e-07	0	4e-09
0	0.49956104	0.4983907	0	-2.7173748e-18	-4.354091e-18	1.5707964	0	0.49	1e-07	3.04e-07	0	4e-09
0	0.99754894	-2.4020474e-09	0	-2.7207255e-18	-4.3541013e-18	0	0	0.49	1e-07	3.08e-07	0	4e-09
0	0.49953	0.49840558	0	-2.7173748e-18	-4.3540914e-18	1.5707964	0	0.49	1e-07	3.08e-07	0	4e-09
0	0.9975488	-5.633554e-09	0	-2.7205952e-18	-4.3541013e-18	0	0	0.49	1e-07	3.12e-07	0	4e-09
0	0.49950045	0.4984197	0	-2.7173745e-18	-4.3540914e-18	1.5707964	0	0.49	1e-07	3.12e-07	0	4e-09
0	0.9975488	-2.773484e-09	0	-2.7204709e-18	-4.354101e-18	0	0	0.49	1e-07	3.16e-07	0	4e-09
0	0.4994719	0.49843332	0	-2.7173743e-18	-4.354092e-18	1.5707964	0	0.49	1e-07	3.16e-07	0	4e-09
0	0.9975488	-2.9105218e-09	0	-2.7203536e-18	-4.354101e-18	0	0	0.49	1e-07	3.2e-07	0	4e-09
0	0.49944562	0.498446	0	-2.7173737e-18	-4.3540922e-18	1.5707964	0	0.49	1e-07	3.2e-07	0	4e-09
0	0.99754876	-3.3975522e-09	0	-2.720242e-18	-4.3541005e-18	0	0	0.49	1e-07	3.24e-07	0	4e-09
0	0.4994207	0.4984579	0	-2.7173737e-18	-4.3540922e-18	1.5707964	0	0.49	1e-07	3.24e-07	0	4e-09
0	0.99754876	-2.849615e-09	0	-2.7201367e-18	-4.3541005e-18	0	0	0.49	1e-07	3.28e-07	0	4e-09
0	0.49939677	0.49846932	0	-2.717374e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.28e-07	0	4e-09
0	0.99754864	-4.607452e-09	0	-2.7200354e-18	-4.3541005e-18	0	0	0.49	1e-07	3.32e-07	0	4e-09
0	0.49937358	0.49848056	0	-2.7173735e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.32e-07	0	4e-09
0	0.99754864	-4.723622e-09	0	-2.7199392e-18	-4.3541e-18	0	0	0.49	1e-07	3.36e-07	0	4e-09
0	0.4993521	0.4984909	0	-2.717373e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.36e-07	0	4e-09
0	0.9975486	-4.431293e-09	0	-2.7198478e-18	-4.3541e-18	0	0	0.49	1e-07	3.4e-07	0	4e-09
0	0.4993312	0.49850097	0	-2.7173733e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.4e-07	0	4e-09
0	0.9975486	-4.2434087e-09	0	-2.7197612e-18	-4.3541e-18	0	0	0.49	1e-07	3.44e-07	0	4e-09
0	0.49931186	0.49851027	0	-2.7173737e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.44e-07	0	4e-09
