# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Length (nm)
9.80195625473664e-10	0.97807103	0.03880574	-0.026489194	3.0023498e-18	-0	65
9.900637023656403e-10	0.9754846	0.06971139	-0.016158013	2.1032238e-18	-0	65
1.0001786350495713e-09	0.9737251	0.09555728	-0.011743635	2.4096125e-18	-0	65
1.0100034001312548e-09	0.9750754	0.09471154	0.0017524083	2.4954745e-18	-0	65
1.0201829813355037e-09	0.97381514	0.091004424	0.00012558118	1.8310718e-18	-0	65
1.0300817394264536e-09	0.9695712	0.08920044	0.0007676944	2.0699924e-18	-0	65
1.0400632862818157e-09	0.9658879	0.08690395	0.0082538	3.1354866e-18	-0	65
1.05017685825182e-09	0.9640186	0.08389763	-0.004888466	2.1208326e-18	-0	65
1.0601786405454951e-09	0.96621203	0.09188074	-0.00074590597	1.838125e-18	-0	65
1.0700895091377912e-09	0.968861	0.084043786	0.011360532	1.7392455e-18	-0	65
1.0800785702586543e-09	0.9692306	0.06466518	0.0086745275	2.0624299e-18	-0	65
1.0900544707290462e-09	0.97008556	0.041810755	0.0039220103	3.3181395e-18	-0	65
1.100052435027119e-09	0.9713064	0.04160718	0.0017812215	2.0417055e-18	-0	65
1.1101112220700698e-09	0.9714893	0.020693276	0.012098511	2.7251449e-18	-0	65
1.1200145460931242e-09	0.9730151	0.0111670485	-0.0004757062	3.193584e-18	-0	65
1.1301334959396663e-09	0.97394305	-0.0060269013	-0.0037731482	1.7084974e-18	-0	65
1.1400853401818816e-09	0.9738469	0.007763051	-0.007879563	1.879929e-18	-0	65
1.1500647426546667e-09	0.9771806	0.01640048	-0.005311702	2.1884635e-18	-0	65
1.1600552256315581e-09	0.9776267	0.031131031	-0.01136381	2.8725356e-18	-0	65
1.1700573738484639e-09	0.97486526	0.053092662	-0.011307753	1.7097571e-18	-0	65
1.1801858388095906e-09	0.9746652	0.042800166	0.0032068957	1.1611321e-18	-0	65
1.1901032450149138e-09	0.9725407	0.03372579	0.010193987	3.9230484e-18	-0	65
1.200191023776347e-09	0.9741858	0.011435817	0.021028925	2.8099011e-18	-0	65
1.210136627189368e-09	0.9790872	-0.021760019	0.017114887	1.9999685e-18	-0	65
1.2201976981524523e-09	0.98046094	-0.030560741	0.009257933	2.288226e-18	-0	65
1.2300696271948445e-09	0.98250914	-0.01969849	0.005938463	3.2562567e-18	-0	65
1.2401166405677666e-09	0.979872	-0.029082298	0.00012720303	9.656156e-19	-0	65
1.2501113382447987e-09	0.979282	-0.0295549	-0.00041084175	4.082128e-18	-0	65
1.2600089304754287e-09	0.9818665	-0.008907883	-0.013168132	1.7206981e-18	-0	65
1.2700635825479296e-09	0.97673744	-0.0056361062	-0.00836773	2.9083292e-18	-0	65
1.2801675920429942e-09	0.97364724	0.026346471	-0.023300141	3.3865742e-18	-0	65
1.290046347316015e-09	0.9745471	0.06806559	-0.017070604	2.7153316e-18	-0	65
1.3000029868819798e-09	0.9737981	0.069858626	0.00036177176	3.2209303e-18	-0	65
1.3101924789758016e-09	0.9764799	0.058278743	0.009498607	1.6222749e-18	-0	65
1.3200941521991722e-09	0.97677785	0.048160274	0.008047952	2.531011e-18	-0	65
1.3300257282051035e-09	0.97687644	0.03850345	0.0037673598	2.7429638e-18	-0	65
1.3401456731541697e-09	0.97383565	0.016209632	0.009353171	3.856686e-18	-0	65
1.3501684978672461e-09	0.9743247	0.0059752404	0.0048697423	2.4289609e-18	-0	65
1.3601199918935796e-09	0.9743161	0.004485123	0.010512095	4.014178e-18	-0	65
1.3701038102755174e-09	0.9783574	-0.016037447	-0.010117883	2.4138232e-18	-0	65
1.3800395247736933e-09	0.9778432	-0.01005539	-0.002685542	3.3615398e-18	-0	65
1.3900750247536258e-09	0.9749175	-0.012511741	0.0043734866	3.402573e-18	-0	65
1.4001695455925151e-09	0.9773905	-0.01116507	0.004677847	2.3006416e-18	-0	65
1.4101556822025617e-09	0.9776239	-0.026852094	0.0017978472	2.3547694e-18	-0	65
1.4200981410294154e-09	0.97804093	-0.04510706	0.009362607	3.8189523e-18	-0	65
1.4300620652233993e-09	0.97842926	-0.04559464	0.012314643	9.877721e-19	-0	65
1.4401108189272372e-09	0.97625285	-0.059276097	0.022688584	1.9389155e-18	-0	65
1.4500938618187048e-09	0.97540826	-0.08334246	0.021351496	2.5156099e-18	-0	65
1.4600034681840229e-09	0.97049844	-0.122703925	0.012393849	4.0997185e-18	-0	65
1.4701625742488307e-09	0.9694726	-0.13266738	0.003915165	3.6349004e-18	-0	65
1.4801160858557395e-09	0.9653377	-0.14069705	-0.009063272	1.7281558e-18	-0	65
1.4900931543134451e-09	0.96729034	-0.13465935	-0.017135317	1.055323e-18	-0	65
1.5000081518505191e-09	0.9696283	-0.11186435	-0.006236211	4.030219e-18	-0	65
1.5101694375934482e-09	0.97278655	-0.08915538	-0.012044431	2.1694576e-18	-0	65
1.5201708842550404e-09	0.9726179	-0.07029638	-0.015317264	3.2286723e-18	-0	65
1.5301307371965643e-09	0.97275656	-0.04519009	-0.024233546	1.5199935e-18	-0	65
1.5400389105212591e-09	0.97211045	-0.012432539	-0.02945689	2.634547e-18	-0	65
1.5501119254063539e-09	0.9722518	0.01499373	-0.027397122	2.0269536e-18	-0	65
1.5600308149077115e-09	0.9707249	0.035313223	-0.024244731	3.9603687e-18	-0	65
1.5701588731616921e-09	0.96812165	0.06639858	-0.02694113	2.0451034e-18	-0	65
1.5800751246558944e-09	0.966561	0.10061433	-0.02011567	2.5350178e-18	-0	65
1.5900631036148109e-09	0.96794105	0.122949794	-0.012501182	1.7853724e-18	-0	65
1.6001187029846073e-09	0.9673221	0.13454458	0.0035133618	9.71559e-19	-0	65
1.6100890150065126e-09	0.9701607	0.12700409	0.008869922	3.3197666e-18	-0	65
1.6200380471667671e-09	0.97216076	0.09891979	0.011206192	2.0578105e-18	-0	65
1.6300351904489837e-09	0.9730284	0.08318663	0.015631545	4.1344237e-18	-0	65
1.6400983291900477e-09	0.97357976	0.075999364	0.014096373	2.7302548e-18	-0	65
