# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Roundness ()	Size (nm)	Temp (K)	alpha ()	Cell_size (m)
8.00027458688705e-10	0.97088814	0.072358	-0.0173709	6.6524466e-18	-0	0.49	100	300	0.009999999	2e-09
8.100048492142339e-10	0.96823496	0.093218826	-0.018772291	6.6198164e-18	-0	0.49	100	300	0.009999999	2e-09
8.200307078063001e-10	0.9656468	0.118690364	-0.016975975	7.028557e-18	-0	0.49	100	300	0.009999999	2e-09
8.300476750486128e-10	0.9637787	0.1390391	-0.016813852	6.7244726e-18	-0	0.49	100	300	0.009999999	2e-09
8.40011950321286e-10	0.964888	0.15440145	-0.015298472	6.6631115e-18	-0	0.49	100	300	0.009999999	2e-09
8.500127885711861e-10	0.9602375	0.17598538	-0.014652837	6.6694456e-18	-0	0.49	100	300	0.009999999	2e-09
8.60033589836249e-10	0.9563741	0.18949327	-0.013598587	6.2494322e-18	-0	0.49	100	300	0.009999999	2e-09
8.700448589821885e-10	0.95233035	0.20202185	-0.01345137	6.157551e-18	-0	0.49	100	300	0.009999999	2e-09
8.800474533444247e-10	0.9464556	0.22037818	-0.016452616	6.0521823e-18	-0	0.49	100	300	0.009999999	2e-09
8.900270484579205e-10	0.9431511	0.23630956	-0.014345292	6.9746356e-18	-0	0.49	100	300	0.009999999	2e-09
9.000452496727978e-10	0.93668115	0.25681522	-0.017995693	6.237587e-18	-0	0.49	100	300	0.009999999	2e-09
9.100128856655011e-10	0.9305573	0.2773653	-0.017378734	6.8457397e-18	-0	0.49	100	300	0.009999999	2e-09
9.200032284329096e-10	0.923411	0.30108935	-0.019966215	6.2337592e-18	-0	0.49	100	300	0.009999999	2e-09
9.300221775914896e-10	0.91878706	0.32083997	-0.019643616	6.3972502e-18	-0	0.49	100	300	0.009999999	2e-09
9.40043626605493e-10	0.9152737	0.33990455	-0.017357096	6.8053977e-18	-0	0.49	100	300	0.009999999	2e-09
9.500423755536133e-10	0.91436666	0.34868464	-0.008637515	6.8556402e-18	-0	0.49	100	300	0.009999999	2e-09
9.600131912452346e-10	0.9079063	0.36230674	-0.014829808	6.3130673e-18	-0	0.49	100	300	0.009999999	2e-09
9.700257012551815e-10	0.89995515	0.3785225	-0.013056092	6.590868e-18	-0	0.49	100	300	0.009999999	2e-09
9.800061832097577e-10	0.88922745	0.39596832	-0.012502539	6.36611e-18	-0	0.49	100	300	0.009999999	2e-09
9.900220582462267e-10	0.8731529	0.41545424	-0.017301705	7.20073e-18	-0	0.49	100	300	0.009999999	2e-09
1.000025428829757e-09	0.85885215	0.4370801	-0.0152529245	6.4889705e-18	-0	0.49	100	300	0.009999999	2e-09
1.010014599823782e-09	0.8532342	0.4502317	-0.011345761	6.674802e-18	-0	0.49	100	300	0.009999999	2e-09
1.0200006356294197e-09	0.848056	0.4670591	-0.014753786	6.1592166e-18	-0	0.49	100	300	0.009999999	2e-09
1.030003521952205e-09	0.8407241	0.48156905	-0.018099483	6.51578e-18	-0	0.49	100	300	0.009999999	2e-09
1.0400222101691506e-09	0.82775235	0.50350094	-0.023055289	6.2046483e-18	-0	0.49	100	300	0.009999999	2e-09
1.0500299298110916e-09	0.8110778	0.53282076	-0.027515145	6.4263947e-18	-0	0.49	100	300	0.009999999	2e-09
1.0600056719172509e-09	0.79193616	0.5609022	-0.02381872	6.7198044e-18	-0	0.49	100	300	0.009999999	2e-09
1.0700173931012235e-09	0.77154404	0.59091073	-0.019989263	6.8533585e-18	-0	0.49	100	300	0.009999999	2e-09
1.080009057725139e-09	0.75646096	0.6106908	-0.018203177	6.1113667e-18	-0	0.49	100	300	0.009999999	2e-09
1.0900335160428436e-09	0.74484396	0.6237122	-0.016894419	6.671838e-18	-0	0.49	100	300	0.009999999	2e-09
1.1000353057065892e-09	0.7362995	0.63761914	-0.015470628	7.22839e-18	-0	0.49	100	300	0.009999999	2e-09
1.1100035743715237e-09	0.7212061	0.65047866	-0.015528975	6.236436e-18	-0	0.49	100	300	0.009999999	2e-09
1.1200124521507965e-09	0.7075804	0.659626	-0.016745891	6.25039e-18	-0	0.49	100	300	0.009999999	2e-09
1.1300003300555816e-09	0.6890014	0.6776907	-0.01979122	6.3003295e-18	-0	0.49	100	300	0.009999999	2e-09
1.1400266231298658e-09	0.6643636	0.70225155	-0.019639675	6.0568613e-18	-0	0.49	100	300	0.009999999	2e-09
1.1500236785178685e-09	0.6425135	0.7234766	-0.017067384	6.3699152e-18	-0	0.49	100	300	0.009999999	2e-09
1.1600080724592937e-09	0.62978196	0.733367	-0.01239786	6.2823243e-18	-0	0.49	100	300	0.009999999	2e-09
1.1700256937540252e-09	0.61708516	0.7440551	-0.009639957	7.08313e-18	-0	0.49	100	300	0.009999999	2e-09
1.180032098076402e-09	0.60971546	0.7519286	-0.009172431	6.4449873e-18	-0	0.49	100	300	0.009999999	2e-09
1.1900107224355566e-09	0.60532725	0.75722015	-0.00796521	6.8313997e-18	-0	0.49	100	300	0.009999999	2e-09
1.2000265807764539e-09	0.59654677	0.7673077	-0.006392207	6.636351e-18	-0	0.49	100	300	0.009999999	2e-09
1.2100058961247649e-09	0.59179103	0.7739385	-0.008791455	7.633126e-18	-0	0.49	100	300	0.009999999	2e-09
1.220040547808462e-09	0.5775336	0.785298	-0.009097137	6.482923e-18	-0	0.49	100	300	0.009999999	2e-09
1.2300294959522452e-09	0.56290084	0.7961208	-0.010606265	6.7368873e-18	-0	0.49	100	300	0.009999999	2e-09
1.2400223538978156e-09	0.5527585	0.80424154	-0.011175958	6.4442577e-18	-0	0.49	100	300	0.009999999	2e-09
1.2500309449869308e-09	0.5399744	0.810793	-0.008454128	6.355437e-18	-0	0.49	100	300	0.009999999	2e-09
1.2600327598263096e-09	0.5371076	0.8108995	-0.005071513	5.755381e-18	-0	0.49	100	300	0.009999999	2e-09
1.2700144515973426e-09	0.5357163	0.8092963	0.00069167255	6.259245e-18	-0	0.49	100	300	0.009999999	2e-09
1.2800344198295634e-09	0.53310215	0.8085313	-0.000519928	6.8698673e-18	-0	0.49	100	300	0.009999999	2e-09
1.2900514996297399e-09	0.52759176	0.8113079	-0.00266002	6.2397112e-18	-0	0.49	100	300	0.009999999	2e-09
1.3000307026065517e-09	0.5197884	0.8164336	-0.0032316968	6.63438e-18	-0	0.49	100	300	0.009999999	2e-09
